sample_name	box	host_subject_id	tube_id	cage_id	condition	collection_timepoint	dob	dod	host_age	host_age_units	collection_disease_stage	cohort	dam	sire	mouse_strain	sex	elevation	elevation_units	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	host_body_habitat	host_body_product	host_body_site	host_common_name	host_scientific_name	host_taxid	iacuc_institute	iacuc_protocol_id	latitude	latitude_units	life_stage	longitude	longitude_units	sample_type	scientific_name	taxon_id	title	NASH_score	NASH_category	condition_ZT	NASH_category_new	steatosis_grade	fibrosis_stage	steatosis_grade_new	fibrosis_stage_new
14L.T2	5	14L	14L.ZT13	STZ_14	FT	ZT13	1921.01.20	1921.04.16	8	weeks	TRF	NASH	C57_4N	C57_4M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	2	Non_NASH	FT_ZT13	pre-NASH	1	0	1+	0
14R.T2	5	14R	14R.ZT13	STZ_14	FT	ZT13	1921.01.21	1921.04.16	8	weeks	TRF	NASH	C57_11L	C57_11M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	3	NASH	FT_ZT13	pre-NASH	1	1	1+	1+
15L.T2	5	15L	15L.ZT13	STZ_15	FT	ZT13	1921.01.20	1921.04.16	8	weeks	TRF	NASH	C57_4N	C57_4M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	3	NASH	FT_ZT13	pre-NASH	1	1	1+	1+
16R.T2	5	16R	16R.ZT13	STZ_16	FT	ZT13	1921.01.22	1921.04.16	8	weeks	TRF	NASH	C57_8N	C57_8M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	1	Non_NASH	FT_ZT13	pre-NASH	0	1	0	1+
17N.T2	5	17N	17N.ZT13	STZ_17	FA	ZT13	1921.01.19	1921.04.16	8	weeks	TRF	NASH	C57_15N	C57_15M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	2	Non_NASH	FA_ZT13	pre-NASH	1	0	1+	0
17R.T2	5	17R	17R.ZT13	STZ_17	FA	ZT13	1921.01.22	1921.04.15	8	weeks	TRF	NASH	C57_8N	C57_8M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	3	NASH	FA_ZT13	pre-NASH	1	2	1+	1+
18L.T2	5	18L	18L.ZT13	STZ_18	FA	ZT13	1921.01.20	1921.04.16	8	weeks	TRF	NASH	C57_7L	C57_7M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	3	NASH	FA_ZT13	pre-NASH	2	0	1+	0
18R.T2	5	18R	18R.ZT13	STZ_18	FA	ZT13	1921.01.22	1921.04.15	8	weeks	TRF	NASH	C57_12L	C57_12M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	3	NASH	FA_ZT13	pre-NASH	1	1	1+	1+
19R.T2	5	19R	19R.ZT13	STZ_19	FA	ZT13	1921.01.22	1921.04.15	8	weeks	TRF	NASH	C57_12L	C57_12M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	3	NASH	FA_ZT13	pre-NASH	1	1	1+	1+
20N.T2	5	20N	20N.ZT13	STZ_20	FA	ZT13	1921.01.20	1921.04.16	8	weeks	TRF	NASH	C57_1N	C57_1M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	1	Non_NASH	FA_ZT13	pre-NASH	0	1	0	1+
21L.T2	5	21L	21L.ZT13	STZ_21	NA	ZT13	1921.01.20	1921.04.16	8	weeks	TRF	NASH	C57_9N	C57_9M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	1	not_applicable	NA_ZT13	pre-NASH	0	0	none	none
21R.T2	5	21R	21R.ZT13	STZ_21	NA	ZT13	1921.01.22	1921.04.16	8	weeks	TRF	NASH	C57_13N	C57_13M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	2	not_applicable	NA_ZT13	pre-NASH	0	0	none	none
22L.T2	5	22L	22L.ZT13	STZ_22	NA	ZT13	1921.01.21	1921.04.16	8	weeks	TRF	NASH	C57_11L	C57_11M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	1	not_applicable	NA_ZT13	pre-NASH	0	0	none	none
22N.T2	5	22N	22N.ZT13	STZ_22	NA	ZT13	1921.01.20	1921.04.15	8	weeks	TRF	NASH	C57_3L	C57_3M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	2	not_applicable	NA_ZT13	pre-NASH	0	0	none	none
