# Constructed from biom file
#OTU ID	13L.N2	13L.T1	13L.T2	13N.N1	13N.N2	14R.N2	13N.T2	17N.N2	18R.N2	13L.N1	15L.T2	21L.N2	19R.T2	13N.T1	14R.T1	17R.T2	22N.N2	21R.T2	17N.T1	14L.N1	18R.T1	20N.N1	18L.N1	23N.T2	22L.N1	16R.N1	21L.T1	14R.T2	14L.N2	20N.N2	22N.T1	17N.T2	18L.N2	18R.T2	16R.N2	24L.N1	22L.N2	15L.N1	21L.T2	24L.N2	19R.N1	14L.T1	17R.N1	20N.T1	16R.T1	18L.T1	21R.N1	22N.T2	15L.N2	22L.T1	19R.N2	17R.N2	16R.T2	21R.N2	18L.T2	14L.T2	24L.T1	23N.N1	20N.T2	15L.T1	18R.N1	17R.T1	19R.T1	22L.T2	21L.N1	14R.N1	23N.N2	21R.T1	17N.N1	22N.N1	24L.T2	23N.T1
e12aa069e7978c59df40a9772bdf95e1	-1.5786992688124952	-0.856274317225461	-0.7912922726770271	-1.8729896405238948	nan	-1.9051573351704594	-1.6732184094436828	nan	nan	-0.9372765052734557	nan	nan	nan	-1.9098537501848112	nan	nan	nan	nan	nan	-1.3471772634255545	nan	-0.13525004199038904	nan	nan	-1.495251976448139	-2.067695665539997	-1.653970868511328	-1.889316501456494	nan	-1.1684312919251525	-0.5464779236562833	nan	nan	-2.3112636936495106	nan	nan	-1.680859637575776	nan	nan	nan	-1.8465872184193035	-1.3974660139052357	nan	-0.557126225619851	nan	nan	-1.8755407949973444	nan	-1.5231664307361052	-0.4715196310463199	-1.987371365083746	nan	nan	nan	nan	-1.5851695544363489	-1.2723186369509385	-1.1794527218776398	-1.0901617729540325	nan	nan	nan	nan	-1.8507064563964848	nan	-1.298380757136095	-1.260622087025765	nan	nan	nan	-0.8878714870696163	-1.1181509277734074
15b42a79ac1ac2729a53f4d71fec0e25	nan	nan	nan	nan	nan	-1.4996922270622939	nan	nan	nan	nan	-0.7639821213397946	-1.1670909627126393	-0.4444812863432954	nan	-0.4091591953246976	0.11721637847753641	-1.0470302517819512	nan	nan	-0.65403008286561	nan	-1.7446879544244878	nan	-1.5525906469230009	-0.02891490765471172	-2.4731607736481624	-0.11352582756417995	-0.636553532961126	nan	-1.4561133643769324	0.3979836851845686	nan	nan	-0.6065156014110853	nan	nan	-0.5822473489076652	-2.1060108150528345	-0.33963669340479896	nan	nan	-1.2151444571112826	nan	-0.34948686084160663	-0.5989514556698916	nan	0.5223544778010272	-0.6663137219841113	nan	-0.6721903265084697	-1.2942241845238005	nan	-0.7508341169068133	nan	nan	-1.2974874819845672	-0.7127028490155158	-0.9563091705634292	-0.26348319976956436	-1.2286384696137018	nan	0.8838368981102596	-2.158749837622908	-1.8507064563964848	-0.20698759868696914	-2.2146714890102492	0.12567227409412673	-0.21585225321528068	-0.1778525295753326	-0.7086208909901934	-0.04057362668241371	-1.1181509277734074
762104032142c45f4099d7d8136beb7b	-2.6773115574806043	-0.72274292460094	-0.6735092370206441	-1.585307568072115	-2.786895492819406	nan	-0.5746061207755737	nan	nan	nan	-0.6304507287152727	-0.15549005103416036	-1.0322679512454132	-1.0625558897976068	nan	0.3750454877796363	-1.2701738030961582	nan	-1.021269379074357	nan	nan	0.7402186953635113	-1.533300203491458	-1.5525906469230009	-1.9007170845563044	0.6838396475019506	-0.04453295607722918	nan	nan	-2.5547256530450415	-1.7992408921516514	nan	nan	nan	-0.7403477536363443	-1.2099158721986125	nan	0.962042120080782	-1.5436094977307366	nan	0.09932293063600905	nan	0.3063668145365934	-0.8194904900873423	-0.22425800622848158	nan	-1.470075686889179	-1.9190766904794812	-1.928631538844269	-1.0776554346166352	0.2098532122524741	0.30206340049219627	-0.7508341169068133	nan	nan	nan	-1.2723186369509385	-1.8725999024375835	nan	1.7527050664881898	nan	0.7907464750442479	0.44393984782147555	-2.54385363695643	0.08069447376481254	nan	nan	nan	0.6453477792328108	-2.094915252110085	-0.6001894146178364	0.4504649901404383
f5414775dbb62c2ca34068aa87d4da79	2.2130375707411485	3.086693492052106	3.4355414725911517	3.0469912853042294	1.7457040003338502	0.17428420650937682	2.421126152778416	-0.6420233406376967	-0.40716629934557425	2.9516240827338356	0.9276938893312767	nan	1.7771347441170837	3.677394908215439	2.7642542554667466	0.2284420135877614	-0.7105580151607365	nan	1.0581721626054783	2.5767743128678644	-0.5804318426962123	nan	-1.533300203491458	-1.5525906469230009	0.9614837963731651	2.4284034253937303	-1.653970868511328	2.930965064148542	0.4616762833358843	nan	0.2802006495281848	-1.7002173991437104	nan	1.3130772393268542	1.8746120243998536	nan	1.0271905635264353	-0.23420863815124449	nan	nan	1.8422922356946323	2.859564130593961	nan	nan	2.4498906431980485	-2.119412925037632	-0.0837813257692881	0.6066519538287753	1.0158074403221713	0.9807326978653688	2.4669759311697614	nan	2.244898156647177	nan	-1.4022134638998374	2.6392281360339505	-1.965465817510884	nan	nan	0.04432720619918662	1.3255971703207274	3.1548166516889737	2.685437248835683	0.6342001933915142	nan	2.03382375303911	nan	nan	nan	-1.6894501440019214	-1.9864837757377272	nan
0bc4a7dd51dc09d0fad32ee694f3da67	nan	-1.01042499705272	-1.0789743451288087	-1.0256917801366923	nan	nan	-0.42045544094831655	nan	nan	-1.091427185100713	-0.7639821213397946	nan	-1.2554115025596237	-0.9290244971730841	nan	-0.9242374963506252	nan	-0.75181507538995	-1.937560110948513	-0.39166581839811876	-0.9858969508043778	nan	nan	-1.5525906469230009	nan	-1.2203978051527944	-0.8066730081241253	-0.9730257695823399	nan	nan	-0.7006286034835423	-0.44745443064834234	nan	-1.905798585541345	nan	nan	nan	-0.8532478465574673	nan	nan	nan	-0.7043188333452912	-1.3676096190350782	-1.5126376706472877	nan	-1.0208006363695228	nan	-1.9190766904794812	nan	-2.1762677232847443	nan	nan	-1.8494464055749233	nan	-0.3036011752317265	-0.8920223738764035	nan	nan	-1.4266340095752446	-0.5354912890537564	nan	nan	-0.07930829594307287	-0.1459583641580604	nan	-1.1160592003421401	nan	nan	-1.6819299263516072	nan	nan	-2.0344416596475616
0d772f1907bd13a11e8970f74e6a0696	0.9062073809755047	1.047963135429283	0.9794137873531952	1.8486796364130322	1.14493013990492	-1.212010154610514	2.1222707797285105	-0.23655823252953212	nan	0.8780134613647936	2.0607923540705553	nan	nan	1.6920143269394963	nan	2.088024079154577	nan	nan	-0.1458006417204576	-0.65403008286561	-1.6790441313643232	0.41479629492888304	-1.1278350953832925	nan	nan	0.8767433136264424	nan	nan	nan	2.198864538061322	nan	0.49700717819250784	nan	1.9300630589212355	0.9336286799353273	-1.6153809803067745	nan	1.8921898866163627	nan	nan	nan	1.2835555148090547	-1.3676096190350782	2.0540741494924415	1.9084280499701674	0.7427879558918358	nan	nan	1.0158074403221713	nan	nan	0.41328903560242036	1.1209680599947776	nan	nan	1.0050976110094787	nan	0.6923494550239528	1.5178049695911957	1.9253178091551835	nan	1.8974559739449761	nan	nan	nan	-0.509923396771824	nan	nan	2.361121341482943	nan	nan	-1.3412944790876162
b38e94e93cdfd2db2d26c7e1cf6d5739	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2.6307072915084584	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2.8125601055975773	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.965465817510884	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
d29fe3c70564fc0f69f2c03e0d1e5561	nan	nan	nan	-2.2784547486320603	nan	nan	nan	nan	nan	-1.7845743656606583	-1.6112799817270007	nan	nan	nan	nan	-2.0228497850187344	nan	-1.668105807264106	nan	nan	nan	nan	nan	nan	nan	nan	-2.0594359766194934	nan	nan	nan	-1.393775784043486	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2.428928402521442	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.9906346625445126	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.5215243084503038	nan	-1.825290165649382	nan	nan	nan	nan
ec0d9410c96cd5c374221cda821359fa	nan	nan	nan	nan	nan	nan	nan	nan	-0.28938326368919043	nan	nan	-0.47394378215269395	nan	nan	nan	nan	-2.656468164216049	-0.5694935185959968	-1.2444129303885676	nan	-2.3721913119242686	nan	nan	-2.2457378274829463	nan	nan	nan	nan	-2.629366170022431	1.3770999796792838	2.208092293080819	-1.2947522910355485	nan	-0.9249693325296198	nan	-0.005943067872674845	nan	nan	nan	-0.43359995197200174	nan	nan	nan	nan	nan	nan	-0.3714633982210689	0.9141366535767359	nan	1.803413930617216	nan	nan	nan	nan	-1.4022134638998374	nan	nan	-2.565747082997529	nan	nan	-2.4356029453728345	nan	nan	1.8628656103078214	-0.38930915548092315	-2.9078186695701946	-2.359234375693874	1.8382714804802651	nan	-1.6894501440019214	nan	nan
d6e558b2e5e35778926bd1988b0d8170	0.3184207160733852	-0.3172778164927754	0.0737051648095779	-0.19901320695222324	0.04631785123681098	nan	-0.9800712288837374	nan	nan	-0.803745112648933	-0.7639821213397946	nan	nan	-1.9098537501848112	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.6362999150488449	nan	nan	nan	nan	-0.6834560209671183	nan	nan	nan	nan	nan	nan	nan	nan	-0.4012627228144101	nan	nan	nan	-3.0069039263393353	nan	nan	nan	nan	nan	nan	-0.13687206961621357	nan	nan	nan	nan	nan	nan	-1.5851695544363489	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.4587863750373966	nan	-1.9864837757377272	0.40790537572164265
