sample_name	filename	sample_weight_MS (g)	recostitution volume (mL)	sample_id	tube_id	ATTRIBUTE_host_subject_id	sample_type	dob	dod	sex	cage_id	host_age_at_sac	ATTRIBUTE_host_age_at_sample_collection	host_age_units	collection_timestamp	ATTRIBUTE_disease_stage	ATTRIBUTE_condition	ATTRIBUTE_timepoint	mouse_strain	dam	sire	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28
125.mzML	125.mzML	0.1366	2.732	21R.N1	21R_N1	21R	stool	22/1/2021	16/4/2021	M	STZ_21	12	12.0	weeks	13/4/2021	NASH	NaN	ZT1	C57BL/6	C57_13N	C57_13M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
126.mzML	126.mzML	0.0629	1.258	22L.N1	22L_N1	22L	stool	21/1/2021	16/4/2021	M	STZ_22	12	12.0	weeks	13/4/2021	NASH	NaN	ZT1	C57BL/6	C57_11L	C57_11M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
127.mzML	127.mzML	0.0432	0.8640000000000001	22N.N1	22N_N1	22N	stool	20/1/2021	15/4/2021	M	STZ_22	12	12.0	weeks	13/4/2021	NASH	NaN	ZT1	C57BL/6	C57_3L	C57_3M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
128.mzML	128.mzML	0.0887	1.774	23N.N1	23N_N1	23N	stool	20/1/2021	16/4/2021	M	STZ_23	12	12.0	weeks	13/4/2021	NASH	NaN	ZT1	C57BL/6	C57_3L	C57_3M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
129.mzML	129.mzML	0.0634	1.268	24L.N1	24L_N1	24L	stool	21/1/2021	16/4/2021	M	STZ_24	12	12.0	weeks	13/4/2021	NASH	NaN	ZT1	C57BL/6	C57_11L	C57_11M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
13.mzML	13.mzML	0.0228	0.456	12L.T1	12L_T1	12L	stool	20/11/2020	12/3/2021	M	STZ_12	not_applicable	7.0	weeks	13/1/2021	TRF	NaN	ZT1	C57BL/6	C57_5N	C57_5M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
130.mzML	130.mzML	0.0203	0.406	14L.N13	14L_N13	14L	stool	20/1/2021	16/4/2021	M	STZ_14	12	12.0	weeks	14/4/2021	NASH	FT	ZT13	C57BL/6	C57_4N	C57_4M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
131.mzML	131.mzML	0.0471	0.942	15L.N13	15L_N13	15L	stool	20/1/2021	16/4/2021	M	STZ_15	12	12.0	weeks	14/4/2021	NASH	FT	ZT13	C57BL/6	C57_4N	C57_4M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
132.mzML	132.mzML	0.0172	0.344	16R.N13	16R_N13	16R	stool	22/1/2021	16/4/2021	M	STZ_16	12	12.0	weeks	14/4/2021	NASH	FT	ZT13	C57BL/6	C57_8N	C57_8M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
133.mzML	133.mzML	0.029	0.58	17N.N13	17N_N13	17N	stool	19/1/2021	16/4/2021	M	STZ_17	12	12.0	weeks	14/4/2021	NASH	FA	ZT13	C57BL/6	C57_15N	C57_15M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
134.mzML	134.mzML	0.0291	0.5820000000000001	18L.N13	18L_N13	18L	stool	20/1/2021	16/4/2021	M	STZ_18	12	12.0	weeks	14/4/2021	NASH	FA	ZT13	C57BL/6	C57_7L	C57_7M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
135.mzML	135.mzML	0.0306	0.612	18R.N13	18R_N13	18R	stool	22/1/2021	15/4/2021	M	STZ_18	12	12.0	weeks	14/4/2021	NASH	FA	ZT13	C57BL/6	C57_12L	C57_12M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
136.mzML	136.mzML	0.0272	0.544	20N.N13	20N_N13	20N	stool	20/1/2021	16/4/2021	M	STZ_20	12	12.0	weeks	14/4/2021	NASH	FA	ZT13	C57BL/6	C57_1N	C57_1M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
137.mzML	137.mzML	0.0265	0.53	21L.N13	21L_N13	21L	stool	20/1/2021	16/4/2021	M	STZ_21	12	12.0	weeks	14/4/2021	NASH	NaN	ZT13	C57BL/6	C57_9N	C57_9M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
138.mzML	138.mzML	0.0526	1.052	21R.N13	21R_N13	21R	stool	22/1/2021	16/4/2021	M	STZ_21	12	12.0	weeks	14/4/2021	NASH	NaN	ZT13	C57BL/6	C57_13N	C57_13M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
139.mzML	139.mzML	0.0234	0.468	22L.N13	22L_N13	22L	stool	21/1/2021	16/4/2021	M	STZ_22	12	12.0	weeks	14/4/2021	NASH	NaN	ZT13	C57BL/6	C57_11L	C57_11M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
14.mzML	14.mzML	0.0236	0.472	12B.T1	12B_T1	12B	stool	24/11/2020	26/4/2021	M	STZ_12	22	7.0	weeks	13/1/2021	TRF	NaN	ZT1	C57BL/6	C57_2N	C57_2M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
140.mzML	140.mzML	0.0404	0.8079999999999999	22N.N13	22N_N13	22N	stool	20/1/2021	15/4/2021	M	STZ_22	12	12.0	weeks	14/4/2021	NASH	NaN	ZT13	C57BL/6	C57_3L	C57_3M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
141.mzML	141.mzML	0.0463	0.926	23N.N13	23N_N13	23N	stool	20/1/2021	16/4/2021	M	STZ_23	12	12.0	weeks	14/4/2021	NASH	NaN	ZT13	C57BL/6	C57_3L	C57_3M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
142.mzML	142.mzML	0.0691	1.382	24L.N13	24L_N13	24L	stool	21/1/2021	16/4/2021	M	STZ_24	12	12.0	weeks	14/4/2021	NASH	NaN	ZT13	C57BL/6	C57_11L	C57_11M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
15.mzML	15.mzML	0.0104	0.208	5L.T13	5L_T13	5L	stool	19/11/2020	27/4/2021	M	STZ_5	22	7.0	weeks	13/1/2021	TRF	FT	ZT13	C57BL/6	C57_13N	C57_13M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
16.mzML	16.mzML	0.0065	0.13	10N.T13	10N_T13	10N	stool	18/11/2020	26/4/2021	M	STZ_10	22	7.0	weeks	13/1/2021	TRF	FT	ZT13	C57BL/6	C57_5L	C57_5M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
17.mzML	17.mzML	0.0241	0.482	7N.T13	7N_T13	7N	stool	18/11/2020	27/4/2021	M	STZ_7	22	7.0	weeks	13/1/2021	TRF	FA	ZT13	C57BL/6	C57_5L	C57_5M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
18.mzML	18.mzML	0.0215	0.43	7L.T13	7L_T13	7L	stool	18/11/2020	26/4/2021	M	STZ_7	22	7.0	weeks	13/1/2021	TRF	FA	ZT13	C57BL/6	C57_11N	C57_11M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
19.mzML	19.mzML	0.012	0.24	8N.T13	8N_T13	8N	stool	19/11/2020	27/4/2021	M	STZ_8	22	7.0	weeks	13/1/2021	TRF	FA	ZT13	C57BL/6	C57_3L	C57_3M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.mzML	2.mzML	0.0151	0.302	5L.T1	5L_T1	5L	stool	19/11/2020	27/4/2021	M	STZ_5	22	7.0	weeks	13/1/2021	TRF	FT	ZT1	C57BL/6	C57_13N	C57_13M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
20.mzML	20.mzML	0.0226	0.452	8L.T13	8L_T13	8L	stool	19/11/2020	27/4/2021	M	STZ_8	22	7.0	weeks	13/1/2021	TRF	FA	ZT13	C57BL/6	C57_12L	C57_12M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
21.mzML	21.mzML	0.0223	0.446	9aL.T13	9aL_T13	9aL	stool	20/11/2020	26/4/2021	M	STZ_9a	22	7.0	weeks	13/1/2021	TRF	FA	ZT13	C57BL/6	C57_5N	C57_5M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
22.mzML	22.mzML	0.0171	0.342	9aR.T13	9aR_T13	9aR	stool	19/11/2020	27/4/2021	M	STZ_9a	22	7.0	weeks	13/1/2021	TRF	FA	ZT13	C57BL/6	C57_13N	C57_13B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
23.mzML	23.mzML	0.0264	0.528	9bN.T13	9bN_T13	9bN	stool	19/11/2020	27/4/2021	M	STZ_9b	22	7.0	weeks	13/1/2021	TRF	NaN	ZT13	C57BL/6	C57_3L	C57_3M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
24.mzML	24.mzML	0.0355	0.71	9bR.T13	9bR_T13	9bR	stool	22/11/2020	12/3/2021	M	STZ_9b	not_applicable	7.0	weeks	13/1/2021	TRF	NaN	ZT13	C57BL/6	C57_9N	C57_9M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
25.mzML	25.mzML	0.0377	0.754	11L.T13	11L_T13	11L	stool	19/11/2020	26/4/2021	M	STZ_11	22	7.0	weeks	13/1/2021	TRF	NaN	ZT13	C57BL/6	C57_12L	C57_12M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
26.mzML	26.mzML	0.0358	0.716	11B.T13	11B_T13	11B	stool	19/11/2020	27/4/2021	M	STZ_11	22	7.0	weeks	13/1/2021	TRF	NaN	ZT13	C57BL/6	C57_14L	C57_14M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
27.mzML	27.mzML	0.0368	0.736	12L.T13	12L_T13	12L	stool	20/11/2020	12/3/2021	M	STZ_12	not_applicable	7.0	weeks	13/1/2021	TRF	NaN	ZT13	C57BL/6	C57_5N	C57_5M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
28.mzML	28.mzML	0.0511	1.022	12B.T13	12B_T13	12B	stool	24/11/2020	26/4/2021	M	STZ_12	22	7.0	weeks	13/1/2021	TRF	NaN	ZT13	C57BL/6	C57_2N	C57_2M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
29.mzML	29.mzML	0.0092	0.184	3L.N1	3L_N1	3L	stool	18/11/2020	27/4/2021	M	STZ_3	22	12.0	weeks	12/2/2021	NASH	FT	ZT1	C57BL/6	C57_11N	C57_11M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.mzML	3.mzML	0.0162	0.324	6R.T1	6R_T1	6R	stool	20/11/2020	27/4/2021	M	STZ_6	22	7.0	weeks	13/1/2021	TRF	FT	ZT1	C57BL/6	C57_5N	C57_5M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
30.mzML	30.mzML	0.009000000000000001	0.18	5L.N1	5L_N1	5L	stool	19/11/2020	27/4/2021	M	STZ_5	22	12.0	weeks	12/2/2021	NASH	FT	ZT1	C57BL/6	C57_13N	C57_13M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
31.mzML	31.mzML	0.0225	0.45	6R.N1	6R_N1	6R	stool	20/11/2020	27/4/2021	M	STZ_6	22	12.0	weeks	12/2/2021	NASH	FT	ZT1	C57BL/6	C57_5N	C57_5M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
32.mzML	32.mzML	0.0175	0.35	7L.N1	7L_N1	7L	stool	18/11/2020	26/4/2021	M	STZ_7	22	12.0	weeks	12/2/2021	NASH	FA	ZT1	C57BL/6	C57_11N	C57_11M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
33.mzML	33.mzML	0.0083	0.166	9aR.N1	9aR_N1	9aR	stool	19/11/2020	27/4/2021	M	STZ_9a	22	12.0	weeks	12/2/2021	NASH	FA	ZT1	C57BL/6	C57_13N	C57_13B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
34.mzML	34.mzML	0.0148	0.29600000000000004	9bN.N1	9bN_N1	9bN	stool	19/11/2020	27/4/2021	M	STZ_9b	22	12.0	weeks	12/2/2021	NASH	NaN	ZT1	C57BL/6	C57_3L	C57_3M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
35.mzML	35.mzML	0.0265	0.53	9bR.N1	9bR_N1	9bR	stool	22/11/2020	12/3/2021	M	STZ_9b	not_applicable	12.0	weeks	12/2/2021	NASH	NaN	ZT1	C57BL/6	C57_9N	C57_9M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
36.mzML	36.mzML	0.0203	0.406	11L.N1	11L_N1	11L	stool	19/11/2020	26/4/2021	M	STZ_11	22	12.0	weeks	12/2/2021	NASH	NaN	ZT1	C57BL/6	C57_12L	C57_12M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
37.mzML	37.mzML	0.0215	0.43	11B.N1	11B_N1	11B	stool	19/11/2020	27/4/2021	M	STZ_11	22	12.0	weeks	12/2/2021	NASH	NaN	ZT1	C57BL/6	C57_14L	C57_14M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
38.mzML	38.mzML	0.0175	0.35	12L.N1	12L_N1	12L	stool	20/11/2020	12/3/2021	M	STZ_12	not_applicable	12.0	weeks	12/2/2021	NASH	NaN	ZT1	C57BL/6	C57_5N	C57_5M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
39.mzML	39.mzML	0.0365	0.73	12B.N1	12B_N1	12B	stool	24/11/2020	26/4/2021	M	STZ_12	22	12.0	weeks	12/2/2021	NASH	NaN	ZT1	C57BL/6	C57_2N	C57_2M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.mzML	4.mzML	0.0097	0.194	10N.T1	10N_T1	10N	stool	18/11/2020	26/4/2021	M	STZ_10	22	7.0	weeks	13/1/2021	TRF	FT	ZT1	C57BL/6	C57_5L	C57_5M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
40.mzML	40.mzML	0.0123	0.246	5L.N13	5L_N13	5L	stool	19/11/2020	27/4/2021	M	STZ_5	22	12.0	weeks	12/2/2021	NASH	FT	ZT13	C57BL/6	C57_13N	C57_13M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
41.mzML	41.mzML	0.0155	0.31	10N.N13	10N_N13	10N	stool	18/11/2020	26/4/2021	M	STZ_10	22	12.0	weeks	12/2/2021	NASH	FT	ZT13	C57BL/6	C57_5L	C57_5M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
42.mzML	42.mzML	0.0315	0.63	7N.N13	7N_N13	7N	stool	18/11/2020	27/4/2021	M	STZ_7	22	12.0	weeks	12/2/2021	NASH	FA	ZT13	C57BL/6	C57_5L	C57_5M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
43.mzML	43.mzML	0.0227	0.454	7L.N13	7L_N13	7L	stool	18/11/2020	26/4/2021	M	STZ_7	22	12.0	weeks	12/2/2021	NASH	FA	ZT13	C57BL/6	C57_11N	C57_11M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
44.mzML	44.mzML	0.0278	0.556	8L.N13	8L_N13	8L	stool	19/11/2020	27/4/2021	M	STZ_8	22	12.0	weeks	12/2/2021	NASH	FA	ZT13	C57BL/6	C57_12L	C57_12M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
45.mzML	45.mzML	0.0254	0.508	9aL.N13	9aL_N13	9aL	stool	20/11/2020	26/4/2021	M	STZ_9a	22	12.0	weeks	12/2/2021	NASH	FA	ZT13	C57BL/6	C57_5N	C57_5M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
46.mzML	46.mzML	0.0178	0.35600000000000004	9aR.N13	9aR_N13	9aR	stool	19/11/2020	27/4/2021	M	STZ_9a	22	12.0	weeks	12/2/2021	NASH	FA	ZT13	C57BL/6	C57_13N	C57_13B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
47.mzML	47.mzML	0.0332	0.664	9bN.N13	9bN_N13	9bN	stool	19/11/2020	27/4/2021	M	STZ_9b	22	12.0	weeks	12/2/2021	NASH	NaN	ZT13	C57BL/6	C57_3L	C57_3M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
48.mzML	48.mzML	0.0248	0.496	9bR.N13	9bR_N13	9bR	stool	22/11/2020	12/3/2021	M	STZ_9b	not_applicable	12.0	weeks	12/2/2021	NASH	NaN	ZT13	C57BL/6	C57_9N	C57_9M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
49.mzML	49.mzML	0.0254	0.508	11L.N13	11L_N13	11L	stool	19/11/2020	26/4/2021	M	STZ_11	22	12.0	weeks	12/2/2021	NASH	NaN	ZT13	C57BL/6	C57_12L	C57_12M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.mzML	5.mzML	0.0323	0.6459999999999999	7N.T1	7N_T1	7N	stool	18/11/2020	27/4/2021	M	STZ_7	22	7.0	weeks	13/1/2021	TRF	FA	ZT1	C57BL/6	C57_5L	C57_5M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
50.mzML	50.mzML	0.0341	0.682	11B.N13	11B_N13	11B	stool	19/11/2020	27/4/2021	M	STZ_11	22	12.0	weeks	12/2/2021	NASH	NaN	ZT13	C57BL/6	C57_14L	C57_14M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
51.mzML	51.mzML	0.0807	1.614	12L.N13	12L_N13	12L	stool	20/11/2020	12/3/2021	M	STZ_12	not_applicable	12.0	weeks	12/2/2021	NASH	NaN	ZT13	C57BL/6	C57_5N	C57_5M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
52.mzML	52.mzML	0.0569	1.138	12B.N13	12B_N13	12B	stool	24/11/2020	26/4/2021	M	STZ_12	22	12.0	weeks	12/2/2021	NASH	NaN	ZT13	C57BL/6	C57_2N	C57_2M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
53.mzML	53.mzML	0.0419	0.838	3L.H1	3L_H1	3L	stool	18/11/2020	27/4/2021	M	STZ_3	22	22.0	weeks	23/4/2021	HCC	FT	ZT1	C57BL/6	C57_11N	C57_11M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
54.mzML	54.mzML	0.0173	0.34600000000000003	5L.H1	5L_H1	5L	stool	19/11/2020	27/4/2021	M	STZ_5	22	22.0	weeks	23/4/2021	HCC	FT	ZT1	C57BL/6	C57_13N	C57_13M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
55.mzML	55.mzML	0.0138	0.276	6R.H1	6R_H1	6R	stool	20/11/2020	27/4/2021	M	STZ_6	22	22.0	weeks	23/4/2021	HCC	FT	ZT1	C57BL/6	C57_5N	C57_5M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
