row ID	130.mzML Peak area	131.mzML Peak area	132.mzML Peak area	133.mzML Peak area	134.mzML Peak area	135.mzML Peak area	136.mzML Peak area	40.mzML Peak area	41.mzML Peak area	42.mzML Peak area	43.mzML Peak area	44.mzML Peak area	45.mzML Peak area	46.mzML Peak area
34	7179453.265	7297743.263	7206508.436	7362494.01	6831195.964	7121903.19	7187398.973	7291494.624	7253934.454	7029403.942	7712916.347	7532600.662	7666933.032	7490512.935
35	290029.9409	1586884.463	572731.7334	289369.978	1062321.248	3695345.525	188645.2108	3147700.44	3372144.721	2742964.16	3751891.612	784279.0064	783781.1339	210253.26
36	3839365.226	4401252.698	3363222.899	685844.2311	1185829.722	1294706.642	2903281.829	9461342.868	7072858.904	5761832.435	7562321.632	7084134.572	8317840.209	7377923.909
37	17932.56742	11400000	5746916.259	1722004.037	1144170.177	4475181.369	430081.0775	1832.692781	10218.88295	3063.332778	2734.59972	1356.292043	40234.44784	8948.714085
38	3936494.477	11700000	9768698.964	4906132.314	2999173.664	4291315.404	4755670.281	3714418.665	6522986.811	12100000	12600000	5655548.136	10600000	11800000
39	78756.40541	4723195.542	1642163.359	732720.2495	646854.441	3771178.657	189828.6665	16998.21204	56816.40949	86264.91662	38951.55192	5475.710615	170600.9714	80597.04094
40	7266.528233	5460170.064	2534243.009	821685.5629	762101.0813	3178494.697	176170.7199	9552.985424	32195.39132	15037.60644	4989.834943	9606.086526	23010.60214	10221.56163
41	50964.26868	32700000	5842797.774	868295.2413	688374.8094	2181812.044	165064.5047	11756.41245	12290.93379	11385.1476	34078.10372	8608.380248	189989.5428	17904.65133
42	50964.26868	16800000	5696559.399	944034.4854	712247.4069	2092950.513	165064.5047	57428.13567	106819.4474	7000.860219	34078.10372	17728.3911	189989.5428	47593.54802
43	4495164.883	2939061.486	5272286.047	2685038.021	2434626.734	2808993.17	2542467.343	4641713.687	2299861.321	2294050.299	2604938.516	2612613.877	2493426.752	3083684.133
44	7601008.532	4514241.417	6396523.866	5333946.502	5609547.017	3448476.034	6436001.271	3127732.384	2575453.271	2930864.747	1200378.666	1025827.587	958380.9092	1042550.178
45	1650616.593	1540976.423	1056163.304	583716.3939	612267.4275	833665.655	1016311.213	1992181.477	1871917.03	1432527.443	1755767.68	1575177.74	2114894.45	2328014.157
46	853203.9182	654859.8958	1038317.009	945753.4919	442339.8702	404408.0594	1145343.175	955893.3065	1510737.837	784288.5125	1792441.885	504153.2373	1455204.883	1380109.888
47	3308348.467	3313478.743	3138201.717	3381757.139	4013353.987	5652264.731	3529792.439	3142200.349	3359667.703	3425802.181	3034818.559	3263070.852	3345909.624	3110864.741
48	79369.13706	2022023.048	1139208.397	1344931.425	1317062.777	2063929.924	143217.464	134609.2327	390556.035	56074.08855	96227.84395	20425.9038	250517.6161	77136.76094
49	64364.21598	1814617.097	524738.4678	180412.0714	1029523.019	7342134.744	228467.7179	3823652.691	4490535.45	4029109.243	7937320.118	1227898.489	320141.3233	146273.8503
50	521966.2975	1283487.512	731962.1161	717428.9178	287613.735	1511128.748	770921.3326	591730.876	409851.0633	282662.9898	295143.3787	437963.9942	2237806.137	1106658.682
51	3311.738276	2355336.681	1689175.193	1010616.006	493086.6216	2635069.285	237199.6905	0	3590.872021	1092.650138	3181.44885	0	5516.076034	0
52	3595.495689	5577680.516	2243434.915	1317935.574	1005044.65	4433735.652	362145.5868	887.6257753	2222.006288	684.1341	819.2876581	937.3663123	14576.10298	680.4951811
53	114820.7271	3158831.048	862695.7957	467595.3837	748327.659	6719514.557	329459.4252	2838292.865	3046140.942	2079483.35	4486791.267	755708.6161	479385.9509	104020.7574
54	3003.993494	2228487.102	2209344.073	1045851.334	787874.4508	2345855.614	360188.2077	0	2046.489363	0	0	0	29946.81037	498.2289436
55	5374.456302	9170314.568	6238569.998	1063419.47	791385.6503	7931978.422	332043.3593	16874.49113	11741.01203	4408.918385	12145.79166	2152.665562	58264.36517	23463.11051
56	1472458.3	1006869.292	1366088.272	971133.747	1140717.121	846397.4532	1026847.537	1008509.504	1601592.975	1098885.347	1162456.812	1051300.133	1418841.47	1309630.872
57	504345.2566	2903181.995	1898931.439	680026.4215	475839.5528	1136825.626	590148.5512	571785.8447	1078050.975	1963086.53	2237853.16	732327.9904	1607653.389	1745878.614
58	2878408.058	1842788.016	3662683.461	1779839.535	1695621.925	1229324.203	1697692.969	3293588.922	1531965.837	1381245.128	1442544.623	1531586.208	1679864.062	1629200.809
59	1985764.693	1757979.455	1697113.953	1638679.443	1434890.793	1317538.088	1572806.339	775685.6233	640597.0751	749017.9083	674195.305	604208.528	387029.6835	660753.2225
60	4155.69033	2372300.302	1102688.919	628454.4475	422233.3074	1229141.102	199429.2153	0	540.9966512	891.6430783	1186.32637	1617.307678	2113.935668	0
61	166024.9145	514946.534	337365.0065	256831.3518	358113.3034	4772309.321	176296.4246	2286693.861	1645916.501	1345940.893	3610634.747	457593.3176	734459.8093	204210.7357
62	7730608.593	7543751.966	7629919.91	7197277.082	7734716.011	9023353.566	7654241.553	7589014.062	7404884.12	8126043.353	7413163.641	8299454.125	7602902.609	8642764.167
63	522948.0793	4995793.006	1485503.386	999710.0146	691107.728	6706018.071	237393.3272	585271.8178	873827.8909	762195.4261	967601.2282	614303.5347	699430.7285	575077.0287
64	7566.29605	3694489.498	3178247.128	649160.1613	869742.7376	2310621.821	91257.50096	2078.830287	13417.56694	4593.293694	14648.79645	12638.25785	22794.07249	2268.582874
65	352510.7531	342923.8676	305207.8003	226196.7105	227321.4617	221631.0193	168434.9627	188338.573	87225.44512	513430.0086	79124.6169	106883.3749	301046.8647	356126.0597
66	6026579.863	5153974.844	3059220.483	4148472.393	2766751.875	5147189.66	2622216.471	1995350.246	2647846.952	2084801.144	2056455.326	1998042.064	2062965.038	2247151.535
67	57961.05105	3318827.681	693652.6433	594085.9109	599103.287	931284.8264	70426.96927	9253.66636	108446.8541	72652.79243	14522.20155	26339.21173	24777.37749	32757.09079
68	2352552.498	3639036.238	3060392.139	2729398.095	2400374.424	2854633.555	3438707.061	3375633.147	1942383.32	3642155.632	3379829.427	2954665.534	3692353.533	4384050.634
69	928929.9914	876496.4397	898327.6883	996506.8572	950718.2544	1358018.327	896226.8146	897386.8221	953046.6943	1033327.52	952376.4865	1113951.456	888593.7389	974380.2465
70	1565166.346	1384237.318	1473219.19	453440.8987	472383.8554	156766.0331	484190.1865	2017462.293	1402266.75	1144960.094	1080012.607	1308389.015	16100000	1799114.755
71	1976072.044	2285122.362	1913034.626	1910011.893	1823559.906	1772644.628	1975437.68	1988477.003	1831200.565	1947527.005	2017946.734	1831365.171	2280651.299	2142286.625
72	825802.4672	784655.0912	781483.5995	770604.6002	761289.9667	750317.2997	727969.5344	803750.9867	793415.1743	800665.7378	751670.9895	832829.6633	751530.7317	812986.2235
73	1096501.747	1468496.156	1635640.859	877193.6431	470911.2444	142112.657	1480954.667	3586087.05	2263372.597	1297331.498	2078519.029	2586579.136	3036498.827	2459109.492
74	168699.2734	110792.3138	222426.1381	489295.815	124600.99	340038.1692	28538.48812	253509.6242	136104.9021	84597.31489	58258.14611	106446.875	242867.6293	286813.9287
75	3197909.362	4563541.842	5154847.954	5576508.898	5220720.541	6477193.488	3923109.182	4478715.01	4633595.966	5376496.897	5904381.261	6519311.667	5041618.412	4413681.295
76	881056.3985	987366.6248	971744.3332	891459.2054	815914.483	1013896.639	865265.1161	849686.1633	810910.9346	939927.5581	936660.8923	882173.0999	927714.3385	903491.0159
77	557334.8448	3975491.215	926448.5728	376949.9165	362569.5663	2710613.853	268411.1238	955794.3572	1282142.906	1835721.174	2277544.551	666998.3077	1357075.234	658022.6067
78	43600000	40700000	41800000	40800000	4.3e+07	50800000	41200000	39100000	43200000	44200000	43300000	41700000	42600000	41400000
79	193010.7875	785534.5916	751033.084	453895.5872	306393.7172	68692.94586	736919.242	816609.2507	327307.2126	270770.3538	600461.9788	455581.6401	1139228.274	840545.7915
80	666253.9675	706462.1121	723590.1086	725567.36	721919.7913	705741.1844	722614.0634	761151.831	728755.7234	727225.6645	739858.0948	702377.119	701780.2359	712118.2593
81	420033.9799	5548156.912	1522024.328	707976.8253	742242.0852	4152342.919	295615	364991.297	1184073.031	641020.7493	633253.7274	219699.1277	1687094.818	459616.9686
82	2916567.063	2695340.258	2609338.35	2667579.383	2577851.132	2739768.882	2733223.417	2803413.166	2829755.814	2759751.853	2752690.683	2852255.954	2774809.172	3802106.834
83	2351230.787	2344940.452	2500135.94	2405204.605	2186216.635	2373768.375	2287352.405	2563347.487	2440836.229	2452986.362	2308054.205	2324783.293	2183292.832	2258914.605
84	52032.61003	538481.2798	312590.6547	728884.709	598894.3104	256454.7479	320170.1827	5059.69522	25062.69579	48341.35279	71294.15263	19695.56513	125450.8942	80553.78856
85	63347.8879	701958.5179	317291.3655	703910.3102	612415.9275	300284.3791	184247.2143	0	7924.679262	16801.74597	41032.83015	32867.07444	160359.6987	69342.90079
86	5152813.077	4394412.925	5023116.143	4662918.91	4536367.979	4557280.51	4772321.714	4668892.928	4963175.689	5159855.928	5047870.607	4279265.445	4623043.682	4929320.647
87	1279024.94	644472.7672	797601.9339	700461.2014	427668.9179	602129.56	851524.6327	743953.7981	1195572.855	816807.8692	764967.9643	1053066.459	939110.0567	1250995.243
