row ID	113.mzML Peak area	114.mzML Peak area	115.mzML Peak area	116.mzML Peak area	117.mzML Peak area	118.mzML Peak area	119.mzML Peak area	120.mzML Peak area	121.mzML Peak area	122.mzML Peak area	123.mzML Peak area	29.mzML Peak area	30.mzML Peak area	31.mzML Peak area	32.mzML Peak area	33.mzML Peak area
3406	13.0748340422016	12.9034610928802	8.14820556986176	8.02596681093977	10.8762151219425	7.16533254836108	7.86009296515845	7.75938363841821	10.7488369622288	9.48930917978595	6.96433555046721	12.3808409601638	12.6454202917934	10.8392927148103	13.4185187028223	10.112569728106
3407	10.2609886810645	11.5272212933625	10.9249801416322	11.2896607038167	10.5799466207888	10.4997591230467	6.02473450524801	6.76271746019707	8.04244180625221	8.62048738202339	3.280435444838	13.2929338968556	11.9704500084721	12.7205404134082	13.4724122658588	7.07761461463757
3408	7.8737586372839	8.6267312949815	5.18858750300292	0	0	4.49246878768396	5.5131848613102	4.12627225406082	6.16062601601965	4.27901747562856	0	0	4.7268299879299	0	4.81457731443401	0
3409	7.79008333345463	7.9477375181652	6.4793535169202	0	5.14237111750568	5.19199277283128	5.01253712824963	7.49958305991823	6.46558314475938	4.65523515105119	6.23422193670721	0	7.94291015848373	4.56542879436698	5.83115619797747	0
3410	9.51245823542207	11.3258561436312	5.46665397207821	6.42766347449226	7.2294359348371	5.85317877073054	5.64988593214619	4.62970243683491	3.62347785502208	6.04510457993343	4.80715881911245	7.49196845969445	13.0218677399522	3.66681502762781	14.3688556162761	11.2828111378903
3411	9.98072336540817	12.4020669758155	10.304164512026	9.06576041391449	9.46199198425651	9.19310249262405	7.51021652523896	4.50641583521063	8.74709341978614	5.65061329864396	6.97315915398513	15.6508727625018	12.5030398430673	11.1297835388921	15.1430596004894	7.46862441432009
3412	9.62318759918784	11.8546986395167	8.48652207833384	8.02894675757243	6.67095545232641	5.22292123025444	2.80088362263261	0	9.25708092459995	5.53091743298487	0	12.9697936796681	11.9926603179088	11.3383056876648	14.895591155249	6.83334432898196
3413	8.32513086919288	10.4704735874916	9.33839207081834	11.1659705736022	10.6049271235371	9.66938212368119	5.5660815253827	4.29218509907065	7.0006604992455	7.4989457730869	3.67796757627345	11.2788064260303	14.1112684827631	12.3598880986982	14.9905967815367	8.86151594003608
3414	0	4.35420889899684	4.53799660429238	0	10.3143656608094	4.35075896688276	0	0	4.22906640167583	0	3.50463670641981	0	0	0	5.34313666774486	3.22532662905808
3415	14.8141789337345	13.1890717318594	13.3100012763741	12.0893182384904	14.8512785214118	12.8932488332738	12.716269719933	14.2927854673871	14.3040394568287	12.7712916800763	13.4961393837073	12.0321181130799	14.4033947133952	11.4495023697822	14.7820682500127	14.835376516341
3416	9.70249949320963	10.9553028198451	0	0	0	3.64031351431468	4.71484025147048	3.90870434359969	4.23301327508014	0	0	8.04330247859663	12.8986901310712	0	14.2511297186542	10.9802072614943
3417	13.0650202392095	13.5272317960153	11.5953138719865	11.1264902205786	12.7100442160592	11.7486999717321	11.2175859830738	12.0445336548763	11.4364709276307	12.312356782716	11.9956057854544	12.9577933592325	12.9385432025711	12.5159511608568	11.9772339230146	11.85797213144
3418	6.68513828812485	10.5655485471213	8.73547531958289	7.99372259889735	9.33047978294711	10.3901403297642	9.03987691042399	9.36878248249652	6.48364870320023	11.2638799546274	8.94246290127555	0	2.60845020088375	0	4.41153690203022	0
3419	12.6969769555194	14.0450528158188	10.579047744198	10.4327850812242	13.1703025176267	11.763743403133	10.0138503978733	10.4046308896803	10.9488672739783	11.0379759439794	10.1179298762206	12.8957572306519	14.6826207673619	12.652075119406	11.9716148708121	9.15655980660806
3420	11.7159351068359	10.8664536923679	2.39038927563185	6.72856052184279	11.2460849462189	8.5454481121948	9.44691611802102	10.5219027556228	9.30112188931325	9.5206480635693	10.042730133048	6.09416776703164	10.3836848775225	0	9.41706391307161	9.16143740931259
3421	8.77860920124069	10.1358360765945	8.19895835580812	6.82062975875747	9.27051972647758	8.45360435323076	7.70996814938602	7.38124407271288	8.02089123332457	8.48779575884255	7.747979296168	12.7121879111757	12.3239200898161	11.5031072461812	11.811434157774	11.8107936524864
3422	10.7277812237993	11.8989407584423	7.0703028642143	7.38772788865038	5.8617465145658	7.96771215047623	5.80479515912682	6.63376278149877	6.34873210467432	10.6882271549182	8.7845000510833	12.7084727042006	12.6099449282877	11.8233017412919	10.1162945054901	8.95718757252361
