row ID	1.mzML Peak area	2.mzML Peak area	3.mzML Peak area	4.mzML Peak area	5.mzML Peak area	6.mzML Peak area	7.mzML Peak area	8.mzML Peak area	80.mzML Peak area	81.mzML Peak area	82.mzML Peak area	83.mzML Peak area	84.mzML Peak area	85.mzML Peak area	86.mzML Peak area	87.mzML Peak area	88.mzML Peak area	89.mzML Peak area
1712	292794.7717	6189917.86	4111187.375	5472814.704	4783556.805	410355.4316	123465.4441	242251.7296	2212345.65	4142872.988	851250.9077	1520213.223	4163280.893	385946.7982	750024.9198	3252595.92	219076.6026	4577134.653
1713	188925.8949	395124.4125	895965.1992	801269.2122	439595.4954	144362.3078	361699.105	565604.3062	1089472.358	776508.4123	614307.6337	424507.1056	280219.1623	365623.9503	475876.8061	723939.8431	402629.7784	584084.4895
1714	409210.4279	543573.5791	2067118.127	1014635.782	1049550.837	1069005.994	1724135.33	2658319.736	1349071.165	2190607.715	523266.7973	597505.0291	1368508.581	478433.8477	412587.282	2137677.699	365176.6669	1552119.159
1715	49065.55462	804590.3714	18342.40494	4343509.381	819260.5289	8849.901842	24213.93758	0	132489.5796	75725.83939	118832.2599	390421.6079	138643.5772	692955.2367	280483.3537	39351.03134	185550.4601	199561.3765
1716	235008.2858	1026179.021	551966.3576	2482211.588	1355482.592	295338.5706	99990.73707	237364.8467	1247855.752	509931.2879	755557.218	1276139.79	879350.4844	194931.8189	1192020.184	512907.2791	480318.7618	1417302.606
1717	365533.8607	355206.7661	547027.4135	375657.2243	292528.119	136465.6789	353689.8086	455813.4004	382188.5193	646063.688	425883.7544	339643.0209	427650.9337	200448.2018	245482.1811	513806.9622	334067.0108	383959.87
1718	408547.0913	209736.7313	211082.2944	336128.198	126042.5311	403142.2234	212001.5561	330500.3138	428353.7353	483483.4103	229368.8386	194671.6454	387781.2729	257634.8878	192238.7122	351106.0939	99530.71276	206603.1723
1719	219127.8006	396640.1339	751924.2295	528955.0686	332455.1251	323624.032	151916.8602	385841.8143	813332.7673	4258077.34	475965.0436	433209.89	1127801.857	274295.9268	208113.9195	701017.56	116702.7524	1054895.492
1720	77801.64623	1072882.325	241662.1122	56500.9773	300708.9616	43509.06231	205561.407	150709.8601	12908.99999	62183.2402	111027.5437	124923.2586	42424.41457	60241.81728	7500.354923	87240.34035	26025.54146	158390.1973
1721	37329.39723	10129.40173	6454.8477	165792.2265	25410.79948	32690.07241	23157.80815	40039.46193	80301.33147	32313.94664	36874.39698	72105.96306	17345.2834	221040.3545	28630.76647	10576.85777	60951.80516	20547.05108
1722	689007.4485	699283.659	415064.8137	2153781.34	915495.7738	453156.1704	612212.1186	232971.6492	441713.1004	365826.2367	322234.5604	352489.3583	333676.7791	436661.4532	257367.4299	326109.1007	266202.1646	342898.4288
1723	495503.7794	75519.92655	684862.4809	1431989.198	647600.0898	43440.98979	167098.5318	204367.1725	815093.3295	526728.621	290694.6247	381247.644	517592.6004	437732.8332	102595.7218	93083.39524	60077.55795	288377.7267
1724	134451.2556	5186556.449	625123.8275	256586.1616	315895.1933	49495.72965	204357.3955	92884.79052	7294.581356	257638.8156	164654.1016	360659.85	205479.8033	102464.9532	23049.51395	38500.69186	78262.77204	174501.5014
1725	245811.2598	311800.3911	632602.0928	409044.4101	322853.6703	390231.6783	185763.2579	349196.7651	755365.0109	1323180.57	409425.9394	269441.6168	810813.3798	278740.621	273461.389	682614.1004	123947.6895	784462.5111
1726	0	0	0	0	0	0	0	569.2944458	650.0736331	0	0	1098.953	522.671621	1530.444621	0	88597.22729	5604.037904	8034.969436
1727	68671.18179	2324322.592	85106.29672	52794.27553	120633.3082	4048.440648	50811.94047	7893.962281	3504.481195	113490.1244	60478.0595	158430.6895	98978.69788	44114.28089	4323.356957	15485.30547	51927.90075	96300.58385
1728	675087.9216	343380.6941	763011.4663	396537.879	355720.1059	1189958.86	1020555.669	564263.7979	434264.54	482739.6238	312851.7605	248929.9409	325201.077	218329.3778	280753.469	453541.3341	206214.8027	394443.8064
1729	13321.51507	62754.2934	11467.00935	243658.4859	203535.0146	753.3281671	2670.89764	4108.39844	12443.98817	12352.49982	43338.84949	95992.91115	24867.0684	214111.8333	37017.59562	8126.989571	78075.52479	39713.79939
1730	431356.011	477947.0407	643576.2645	387438.1038	206439.4314	431174.4115	425415.195	412908.7438	380142.0817	434357.5656	374840.5987	405372.8937	179402.9173	239889.7617	259171.1825	402258.5795	411801.2451	467543.0594
1731	105479.8276	393763.5634	1166102.381	444460.6068	94081.6166	251766.377	151492.5967	185999.6952	377413.8481	459349.1512	1096747.27	497053.7354	2114998.775	122906.2621	110282.8099	447336.8367	59607.21192	545237.8298
1732	0	0	0	0	0	0	0	0	0	0	556.9217656	0	0	1060.409993	0	228849.8739	4202.264484	12022.53824
1733	0	0	0	0	0	0	0	0	0	0	0	0	1190.578087	0	0	86919.29276	71371.64051	14973.39148
1734	1239.883815	41385.08966	8533.701842	340440.8049	88489.4487	1663.194228	4618.245777	1772.970633	21281.55481	52765.42202	12023.51035	25311.86367	8554.936667	88332.55451	26162.83485	24010.33388	29174.67557	50460.48202
1735	209537.1457	953680.0207	493608.1788	298639.0429	567529.1399	475862.5468	75787.28661	220760.5578	760460.8133	729146.5972	631144.1164	1817104.122	3411822.52	286585.8924	424369.6469	927632.4615	380604.2824	4475310.377
1736	960.6319111	0	0	831.2854982	0	0	0	0	48230.39621	59865.30302	19242.42427	56108.6832	30209.04807	122186.7661	69959.53526	1211836.875	65429.64173	64419.87229
1737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8108.783091	0	0
1738	2434.344543	4178255.945	21169.19289	2082562.272	1779017.875	46047.66341	179823.2358	1153.668839	33857.49842	8425.044616	226266.8818	490840.7092	58108.13414	861128.8757	1361234.6	37968.91259	924855.3262	7797879.249
1739	0	0	0	0	0	0	0	0	0	0	0	669.3336317	0	592.9055826	0	48534.556	40962.9697	12859.21803
1740	0	0	0	0	622.132725	0	0	0	0	0	0	0	0	0	0	1526.558457	0	0
1741	3503150.129	3656917.567	9102667.203	3919553.569	2210678.899	2818475.585	1134252.114	5319675.215	6483126.81	11800000	5428889.406	3513681.718	8044161.14	516307.0461	1747585.681	7206658.169	297234.6759	7799250.515
1742	123889.0085	348671.5068	424025.0803	340615.3433	127759.5229	148752.4601	150271.5505	271768.9112	443875.3182	503015.1679	849214.0792	597932.5463	1428741.554	208853.1181	195872.9041	468411.4548	145522.5047	488334.9411
1743	934.3490725	142335.9256	2194.795793	769179.9549	428490.5401	0	7248.400902	1259.746351	64156.67933	177741.9158	148314.1049	252108.2361	25644.03836	308614.5391	246864.7553	5915.664229	239714.1904	132946.614
1744	9656.65698	81443.56275	21415.51005	332156.5681	81345.58965	2130.499676	4351.083549	5726.239125	51396.18143	61567.74868	33541.00664	102433.9063	40036.12444	107246.0095	25821.83847	22228.04963	18117.23994	62478.92676
