row ID	1.mzML Peak area	100.mzML Peak area	101.mzML Peak area	102.mzML Peak area	103.mzML Peak area	104.mzML Peak area	105.mzML Peak area	106.mzML Peak area	15.mzML Peak area	16.mzML Peak area	17.mzML Peak area	18.mzML Peak area	19.mzML Peak area	2.mzML Peak area	20.mzML Peak area	21.mzML Peak area	22.mzML Peak area	3.mzML Peak area	4.mzML Peak area	5.mzML Peak area	6.mzML Peak area	7.mzML Peak area	8.mzML Peak area	80.mzML Peak area	81.mzML Peak area	82.mzML Peak area	83.mzML Peak area	84.mzML Peak area	85.mzML Peak area	86.mzML Peak area	87.mzML Peak area	88.mzML Peak area	89.mzML Peak area	96.mzML Peak area	97.mzML Peak area	98.mzML Peak area	99.mzML Peak area
795	4207522.138	994107.6511	1860272.031	156627.5099	773267.3734	204738.177	722734.7557	41423.44617	2653786.429	20900000	2168617.324	3246023.043	965921.8025	702392.2789	6844327.018	1401063.928	1363246.091	7985158.967	1065835.303	1606378.28	991316.3748	6890948.193	2993810.175	9155651.792	4844674.599	3411553.237	2525942.461	1448551.088	2293594.368	1482330.425	4336320.976	554150.7852	1933067.305	727414.5563	2979844.254	1408420.023	1036966.815
796	255699.8601	271239.9947	32466.86224	86429.20921	895573.3165	351149.3515	127227.2106	193795.2142	430072.949	133237.094	762306.9781	530761.4497	89877.02777	137020.4832	520376.0984	241120.1552	819696.5227	285588.8587	92104.62435	310491.5554	16260.90597	68620.91025	474715.8138	3946286.17	340450.9188	295568.0886	272985.2295	269379.5639	293743.8728	1026594.097	1757685.916	301109.5002	618045.0131	761183.8181	216486.1017	184168.6969	48399.91954
797	382468.3827	744696.8678	786380.4862	84338.49059	408107.8714	113761.8532	433551.073	169394.9489	859100.321	2494515.709	373329.897	453358.3195	492601.0959	740989.34	1125992.229	403861.2734	239512.269	2978256.658	1008830.963	705466.7467	197327.7702	2397792.548	454212.9366	5368717.228	1185675.221	1773849.954	3339500.583	1722847.686	2023355.025	1120320.917	1388353.219	251876.5326	3665467.236	450458.3769	844029.7684	521172.6126	384488.0907
798	558542.4082	720065.9719	522257.8524	695978.8585	447711.6418	438960.1905	501320.9017	511479.1796	1385786.566	965426.123	2326788.713	2468603.59	1007261.725	227826.6139	2271897.964	1259233.685	2048335.043	351194.6034	360000.0993	678795.779	390653.3445	591816.3356	2428879.52	687501.5276	181835.0233	604116.9185	381819.3834	486152.4731	290809.2694	677804.4727	1382752.834	414586.4063	696368.9376	567278.7884	764609.6123	1105325.471	442912.2993
799	1190885.057	690572.9801	500106.4076	409221.9887	382230.4529	319722.7047	390227.9535	535429.2554	993216.3386	907102.1935	2002184.865	1682767.283	878852.2177	657258.3515	2034441.665	889618.6933	1437327.849	1263283.743	718176.5197	958876.661	904944.5091	504609.6606	1396243.029	708720.8535	531191.0865	603463.4642	418112.1286	629977.0895	273622.3609	685992.3193	1276314.462	492918.1429	898338.5643	513395.9399	673523.5833	701800.5659	314154.0773
800	2140292.903	1357271.072	1318273.303	363589.7927	737370.6794	560490.4116	1057426.893	748762.4059	1392349.111	2180299.13	3400340.621	2964078.46	2018272.825	801434.1476	4543364.79	1743053.184	1909888.025	1535270.126	1248833.516	1474724.1	1396907.046	667766.7784	2002085.155	1022482.818	624012.0822	779373.0425	763076.1584	907455.8272	178339.5483	658533.139	1767418.396	699421.795	1028433.39	954324.1857	1380595.083	1169487.858	416746.9899
801	577780.3477	826618.6486	561384.3141	789375.2052	493114.2504	481935.9111	590819.9376	560520.2584	1486935.452	1102192.37	2696058.896	2644365.24	1093491.324	249044.3414	2617307.531	1188696.721	2305931.03	442683.9271	401062.2529	699033.0821	447480.1276	641970.7181	2796890.159	900109.5027	195762.1832	680953.7736	394061.6393	527051.2535	355971.6313	648401.0671	1672250.131	445400.3291	788129.9751	635350.9052	864945.1929	1180848.533	469290.1974
802	107331.6887	145626.1283	28901.12969	76057.54955	601552.1364	181779.8586	32781.84627	10443.28516	205315.1818	1160.761061	303184.125	204223.3879	59781.85343	15377.60096	3668.122981	1401.274181	2362.200469	50586.73784	4237.80603	15456.67775	20326.55964	0	46506.87917	2457214.992	44651.69498	63954.88227	79446.19241	127110.7803	111294.498	144891.1764	710127.9163	133777.0001	97403.91356	629846.202	174563.8663	74937.53344	33887.66852
803	500859.2252	2123800.278	511567.1551	140770.4412	1150064.564	107054.4644	2706096.509	308024.2114	139242.303	2064897.054	399005.5445	1672501.993	4620057.7	2079265.229	1153003.81	528117.0362	73532.285	21200000	1298307.37	1357244.473	2316134.472	8501779.133	1188987.99	11700000	7554568.969	3586725.219	710237.0248	1930174.895	726859.8471	769896.6395	12300000	378997.6935	1399070.461	337088.9322	297738.9278	234409.6056	379176.3823
804	0	45631.07704	16463.91623	101573.1768	1133755.235	15432.76014	61313.03135	13833.66818	1904.704194	8803.624865	105143.106	198643.8574	7116.323843	0	20222.02557	17009.62266	44331.0287	0	694.6959725	24032.25219	4685.800268	2852.651578	70664.42101	387472.7312	85735.69206	47714.4542	20524.38673	22160.57702	14777.49458	150754.5706	983761.8282	34565.78317	83295.52675	87570.73396	57118.10171	53692.19706	30532.20747
