row ID	113.mzML Peak area	114.mzML Peak area	115.mzML Peak area	116.mzML Peak area	117.mzML Peak area	118.mzML Peak area	119.mzML Peak area	120.mzML Peak area	121.mzML Peak area	122.mzML Peak area	123.mzML Peak area	29.mzML Peak area	30.mzML Peak area	31.mzML Peak area	32.mzML Peak area	33.mzML Peak area
67	79687.48173	157767.5037	158343.5874	753370.4638	3761361.524	1196746.012	1001428.627	1370743.455	1347020.149	1345268.928	527945.7354	134349.2935	135301.5067	125958.5041	96694.28565	106219.3525
68	2860300.686	2936475.828	1825474.398	2773121.104	3239111.603	3169902.173	3105838.641	3436890.608	2801012.225	3247054.937	3133222.705	3040414.667	4756523.926	2593287.496	3246751.253	3677632.597
69	882164.8122	932795.6917	963464.939	1083416.241	899145.0253	946649.2034	1160280.497	914547.3247	972433.5196	938682.544	936637.9224	924590.404	877482.2734	931399.2024	875567.3585	1208303.023
70	1592349.27	2779399.786	543739.9258	470233.103	1285334.313	647902.2682	362267.0185	291823.4215	435397.6453	914006.059	332536.7552	4069439.767	2821998.709	1017924.198	1002595.398	434437.1819
71	1850475.895	1830141.237	1773796.386	1835158.417	2081060.402	1806107.73	1750358.342	1892609.424	1819242.245	1789216.22	1748068.266	1807182.421	1812153.018	1729604.686	1890203.492	1812014.662
72	787112.8255	778491.5688	778078.2698	818149.4968	788083.7598	834516.1059	743494.5335	819496.1634	746550.9356	770563.5529	765682.9606	776831.7411	810782.967	816490.5383	764192.2179	769364.698
73	2159962.917	2685712.9	332166.8472	269441.8603	1809341.339	772495.0076	632800.758	1262011.813	438513.0928	876799.4133	577190.1339	1186296.995	1511981.765	851396.7832	574201.6159	545228.3595
74	337580.389	249952.4575	76832.82624	116806.1872	148897.8232	160241.41	413029.3301	484944.9682	174169.1784	267027.4307	65949.01126	223653.1985	261483.4714	33033.12965	8578.108855	154656.967
75	3844516.922	4554774.447	4543367.818	4706892.51	4722235.627	4529519.912	6541905.545	4719903.991	3960304.846	5178181.139	4980941.893	5143090.412	3836270.246	5186134.814	4022323.671	6672819.638
76	862800.529	799666.0053	843317.4838	874215.8998	930010.3243	858895.1294	997687.0531	939224.4212	843237.5956	931879.5531	902775.126	969216.474	906931.8877	779587.0526	862578.8986	1027858.008
77	2320665.881	7543949.336	366084.3194	474095.2163	2620030.229	675671.2546	376779.662	633449.0835	736064.7333	995777.429	458906.4276	2623580.606	1.1e+07	2374775.818	1207452.092	214457.4253
78	42100000	40100000	43700000	48200000	40800000	43900000	41100000	42600000	48700000	40700000	40900000	41100000	41800000	40100000	40700000	4.1e+07
79	569616.5546	414604.5864	176274.0379	109382.6024	576979.9689	382186.4306	550715.1749	1079512.142	326786.4448	565425.83	371664.6644	163054.4373	483679.482	208295.9579	24792.90386	185212.7583
80	692450.3154	681058.0149	681526.8156	707748.5869	706529.1515	737512.7505	656565.2304	501128.7586	689070.0596	704986.712	696367.037	714800.225	740088.858	730345.5555	729722.4048	710382.0617
81	3089491.536	10600000	509811.9085	1125979.708	5334459.585	1412035.772	761201.7898	1196079.185	1543194.691	1515924.334	652848.6636	2792697.901	5269592.096	5422457.194	568423.8936	206384.2951
82	2838554.609	2709615.267	2682121.969	2648676.934	2739553.976	2715036.785	2586596.416	2713813.967	2742856.543	2710021.193	2687180.032	2607619.006	2722533.776	2733128.82	2684236.193	2789206.278
83	2164971.102	2178821.104	2127135.553	2310761.931	2373448.885	2212388.567	2254245.254	2265126.36	2180904.724	2430384.782	2310318.767	2585806.031	2255203.946	2338064.019	2075136.942	2191821.286
84	56711.14361	116716.6246	208361.8974	541958.9249	842671.8362	619257.0247	640224.9002	563432.2375	891077.9783	493633.6499	498431.9196	203712.0588	107532.0664	914616.4417	60708.64257	223850.8482
85	110285.4085	205436.8715	294413.8203	659614.531	1034389.122	825887.2789	784587.0757	806062.8491	1053052.072	659886.0361	681563.5205	265233.8993	89241.27776	1060830.583	100259.9476	206082.6534
86	5929819.985	5720090.402	4711709.433	4470515.207	4643137.16	5088965.259	4489568.416	4499910.183	4866355.022	4900360.723	4681879.713	4492592.049	4555427.125	4841421.386	4643632.731	4327153.771
87	1186958.188	1148814.705	317587.9536	568509.1001	962524.2144	450582.0397	545916.7647	611568.1351	736898.635	799176.9992	709278.2172	1459564.387	1182602.92	1492577.571	1083603.901	1676442.716
88	35972.34985	2527729.045	1780220.413	1449886.13	2204700.448	3554225.067	1148784.199	1960928.175	2622944.741	2519105.436	1325516.919	1712923.568	108283.4809	4559399.691	70511.02693	159774.444
89	6866619.063	6875864.753	6775655.209	6700704.865	6475355.525	6771098.063	6508338.346	6588506.857	6967143.458	6805484.829	6705935.053	7209012.511	6812686.013	6815378.772	7113918.105	6800147.081
90	1841036.538	1754821.494	836573.0996	456211.4323	1298015.651	620653.2245	382785.0547	529759.4605	888886.1452	538308.7832	659851.7538	1292658.729	1406026.348	647129.0606	1184944.409	741708.5696
91	1756724.571	1529620.57	759110.1206	395201.7623	1221325.436	543200.5711	333106.9158	539854.5062	844070.2255	603850.9654	659148.1902	1425585.661	1521750.496	742209.2873	969672.5167	691160.3421
92	543839.2114	494334.3427	549882.8957	675564.8295	555497.3846	627958.3354	702877.233	589610.7962	679644.5331	529264.5506	590127.5341	1114242.646	537195.9156	686799.6481	574300.7785	601672.2751
93	805164.146	807519.9218	787180.4775	797368.3967	757800.6934	779982.8412	833693.6426	790861.8564	753398.4695	797896.5986	828548.9178	823238.2246	768810.2908	804198.3181	755667.9821	854319.8622
94	7593834.03	17800000	2317610.36	2007531.162	7659118.945	3722053.875	2163437.904	2980571.414	2460957.172	1795654.629	2706621.934	7380010.106	14300000	4747964.532	5514492.606	1992807.621
95	2074715.243	1992812.146	393300.4148	323910.9671	590147.5272	828323.3501	373089.9796	481515.135	520693.8714	769009.965	460128.1522	2411125.841	3082530.117	3745485.747	2139395.945	1300711.733
96	484494.4495	473677.9154	54616.88514	45968.43979	528966.757	126476.4532	240518.2857	504502.647	307868.6067	165384.5854	467020.8	763505.3869	915790.5042	455131.7835	728217.529	636947.96
97	1464947.751	1756804.157	1216270.682	627518.1459	792121.0635	1878938.996	335984.4077	630448.378	397311.7105	2117944.03	425078.5981	7714614.961	449731.4438	400207.9168	334166.1825	263244.8756
