row ID	113.mzML Peak area	114.mzML Peak area	115.mzML Peak area	116.mzML Peak area	117.mzML Peak area	118.mzML Peak area	119.mzML Peak area	120.mzML Peak area	121.mzML Peak area	122.mzML Peak area	123.mzML Peak area	130.mzML Peak area	131.mzML Peak area	132.mzML Peak area	133.mzML Peak area	134.mzML Peak area	135.mzML Peak area	136.mzML Peak area	29.mzML Peak area	30.mzML Peak area	31.mzML Peak area	32.mzML Peak area	33.mzML Peak area	40.mzML Peak area	41.mzML Peak area	42.mzML Peak area	43.mzML Peak area	44.mzML Peak area	45.mzML Peak area	46.mzML Peak area
36	7681507.275	8228204.758	1523129.74	1165456.742	5838653.335	2287608.19	973576.0148	1763123.175	1509160.068	1499252.47	1795273.533	3839365.226	4401252.698	3363222.899	685844.2311	1185829.722	1294706.642	2903281.829	5470952.679	6433262.523	3831343.008	4515854.086	3344280.924	9461342.868	7072858.904	5761832.435	7562321.632	7084134.572	8317840.209	7377923.909
37	39887.82831	102845.888	574586.2121	2160634.491	6334055.087	2570179.101	1032346.628	1780361.225	2366750.585	1460190.871	868410.4509	17932.56742	11400000	5746916.259	1722004.037	1144170.177	4475181.369	430081.0775	1003005.906	13832.40521	4991018.893	2456.094263	2737.224684	1832.692781	10218.88295	3063.332778	2734.59972	1356.292043	40234.44784	8948.714085
38	11800000	9014893.567	738631.3029	1392993.025	17700000	4888190.327	4081401.191	8425141.353	6895097.631	7149269.517	3238515.23	3936494.477	11700000	9768698.964	4906132.314	2999173.664	4291315.404	4755670.281	4385665.784	5609047.213	21900000	4593332.024	5306944.853	3714418.665	6522986.811	12100000	12600000	5655548.136	10600000	11800000
39	90642.0139	328068.8106	63544.24016	1212695.514	2117182.986	409364.5557	544254.8982	864368.719	1219947.737	721580.632	646360.6076	78756.40541	4723195.542	1642163.359	732720.2495	646854.441	3771178.657	189828.6665	671492.5797	145131.2478	1642082.169	35427.9965	33282.21278	16998.21204	56816.40949	86264.91662	38951.55192	5475.710615	170600.9714	80597.04094
40	28152.99124	103468.2189	27147.69758	1587632.098	1204018.131	819123.6006	140887.1685	437285.4593	1018137.776	539467.8613	104601.0562	7266.528233	5460170.064	2534243.009	821685.5629	762101.0813	3178494.697	176170.7199	635830.7636	113246.5241	2718342.455	9228.084752	5036.552835	9552.985424	32195.39132	15037.60644	4989.834943	9606.086526	23010.60214	10221.56163
41	41756.26092	100598.9121	443114.8891	1984360.45	4933523.089	869064.9496	628203.2949	684885.3728	1892539.527	1215806.056	570749.8458	50964.26868	32700000	5842797.774	868295.2413	688374.8094	2181812.044	165064.5047	937405.2977	13896.80999	3631012.443	8991.701744	4288.499566	11756.41245	12290.93379	11385.1476	34078.10372	8608.380248	189989.5428	17904.65133
42	83593.12323	100598.9121	965337.6431	2343593.065	4755492.482	760234.2043	634592.4833	762466.4241	1757229.708	1265232.761	565416.9134	50964.26868	16800000	5696559.399	944034.4854	712247.4069	2092950.513	165064.5047	1180864.52	93259.31843	3750428.711	26968.43584	43463.98152	57428.13567	106819.4474	7000.860219	34078.10372	17728.3911	189989.5428	47593.54802
43	3045135.138	2726636.279	3240409.608	2601584.067	2919959.456	2415513.539	3016944.816	3142513.734	2541897.916	2490820.158	2665724.009	4495164.883	2939061.486	5272286.047	2685038.021	2434626.734	2808993.17	2542467.343	5877396.01	5117584.823	3162905.975	3775460.626	4153185.151	4641713.687	2299861.321	2294050.299	2604938.516	2612613.877	2493426.752	3083684.133
44	6812894.541	6594980.021	6548756.838	6950030.343	6855532.433	7222353.806	8717692.82	15600000	4597285.25	5308124.571	5294392.296	7601008.532	4514241.417	6396523.866	5333946.502	5609547.017	3448476.034	6436001.271	2997959.87	454923.8122	1385761.052	1050431.536	1352449.198	3127732.384	2575453.271	2930864.747	1200378.666	1025827.587	958380.9092	1042550.178
45	1834209.925	2244852.714	578403.3959	569716.1987	1678797.662	641017.8055	492229.7847	893388.5171	702783.8726	1027385.327	848668.4125	1650616.593	1540976.423	1056163.304	583716.3939	612267.4275	833665.655	1016311.213	1537846.093	2177172.957	1501776.888	2051325.37	1350072.785	1992181.477	1871917.03	1432527.443	1755767.68	1575177.74	2114894.45	2328014.157
