row ID	100.mzML Peak area	101.mzML Peak area	102.mzML Peak area	103.mzML Peak area	104.mzML Peak area	105.mzML Peak area	106.mzML Peak area	15.mzML Peak area	16.mzML Peak area	17.mzML Peak area	18.mzML Peak area	19.mzML Peak area	20.mzML Peak area	21.mzML Peak area	22.mzML Peak area	96.mzML Peak area	97.mzML Peak area	98.mzML Peak area	99.mzML Peak area
637	5342761.311	13700000	300707.4616	1566073.913	410275.3137	812915.9886	540425.5301	17351.60107	23747.08082	3432862.735	2101546.381	306408.8486	291222.8066	7121.603556	19055.15461	5686492.327	1257738.207	4735809.293	705796.0164
638	6019467.57	3376370.606	284888.3443	257725.2775	582674.7102	94797.40677	360588.9619	3141.464928	1787.284744	7077.171434	6372.621875	3427.819867	14405.07681	8424.367451	4463.802496	2113436.136	376192.4822	1839416.739	2388316.598
639	12800000	1.1e+07	10800000	9994753.143	9384035.09	12800000	9329897.269	1.4e+07	17900000	22200000	27900000	19600000	38300000	19600000	20900000	12200000	19300000	12700000	6944820.274
640	29617.59741	15730.68749	51854.54667	11505.765	450580.6018	456935.4462	21559.06308	301943.1355	1618085.144	3927179.357	3175523.636	1663555.98	3745800.942	1007825.026	1383246.853	4489.821	6995.181917	1314.207581	0
641	154988.4445	461349.2646	40634.86848	231452.5247	338693.1672	95099.46987	305323.4019	57903.78888	50822.36369	77694.76338	102668.4836	132938.5304	0	25336.20687	10962.1924	346879.8205	56908.42361	649927.4789	342103.2061
642	629388.0827	419145.421	745019.9333	416313.5245	422803.5226	536723.9238	430508.0818	969193.6558	401748.3439	512454.585	477624.2841	313225.2952	487616.6286	433307.8374	391152.2452	411004.3016	607626.7051	501166.5497	536853.8815
643	273689.4371	2131826.549	33329.11864	130592.1707	1940853.789	33858.50414	1181784	13998.4441	27961.46823	150943.3469	16201.89651	57273.54656	9768.803946	10796.9084	20355.01081	1251982.542	8236.966811	2698275.66	1512478.693
644	477807.1489	731722.5472	124806.2204	296051.085	706861.9576	872202.0463	576678.957	142517.5637	1076414.729	914528.362	999692.832	533845.633	993976.3397	509147.6803	823063.0802	449476.8442	1258953.931	1105741.547	133802.5746
645	1606008.263	1024349.082	164668.5766	232747.462	313046.2182	91952.23331	111286.065	131858.1585	59531.82789	82535.71788	99476.17299	86269.95754	43102.80857	154940.4499	86961.00821	929345.4812	136598.9157	733431.0398	882043.6768
646	2616684.2	1652417.465	200942.0727	316999.964	516931.9423	138518.9236	550574.6897	2531.444693	1836.860406	3978.628173	3327.630994	0	1323.019181	2850.473119	1645.967481	2354890.089	243727.6326	787851.6037	1824722.814
647	2133493.75	3884359.565	692327.3465	1648883.865	611233.1897	2886732.628	602911.0856	630694.39	413023.1001	661951.0226	515012.4634	216060.5301	925098.2782	347519.2135	318314.3506	1365834.171	523587.069	2708493.711	1103779.412
648	8e+07	64700000	5736045.7	39600000	17900000	4595286.52	54200000	34600000	43900000	13700000	22700000	1.55e+08	12200000	5606259.45	44500000	1.52e+08	28600000	1.62e+08	1.68e+08
649	33600000	14800000	309261.1226	579128.8018	1142270.188	122304.1481	613905.982	2349.512323	0	3911.357084	12883.32502	5099.811475	2226.551437	1498.857674	1391.306355	9126179.702	707278.5404	3475111.325	8312604.184
650	60400000	14200000	309261.1226	644817.3248	1073665.006	122304.1481	472604.3361	2349.512323	0	3911.357084	12883.32502	5099.811475	1358.960176	914.3999486	1391.306355	7591054.404	776823.7693	3331310.38	8553450.584
651	7027.517412	107654.2294	0	118016.6612	311740.5322	0	14337.70566	0	0	0	0	0	0	0	0	192595.714	1193.545815	95335.67792	173654.1441
652	744349.371	893677.5109	298829.3638	627818.8132	428697.8878	588819.6785	361784.2809	278624.8508	340356.7627	193501.7747	205320.1199	299463.2628	316107.8438	187209.5986	187235.0897	741869.8997	540753.2361	1363049.62	980509.8549
653	1041384.603	1084587.545	436069.3712	877033.865	729553.9208	845309.0639	711589.4973	229425.4744	4653755.398	207178.5325	452735.8868	361746.7058	1260395.889	609794.7004	311072.7447	615667.2568	651764.5287	1024449.622	380727.2445
654	1114917.713	1760236.515	332159.8021	580837.1383	539443.9267	416642.2699	571934.7889	334327.1038	580174.9205	332944.2755	399991.5365	602271.8414	545253.1865	282303.2375	247528.9104	1319564.96	715047.9832	2382758.225	1060772.192
655	125304.243	370823.0633	11340.58754	430953.4532	449854.4475	24794.99759	176397.4384	545479.3063	507725.4389	1437630.131	882434.427	363792.0397	1048819.423	71947.73863	106376.5488	59695.06718	86472.0917	293162.1909	196443.964
656	282980.3947	331590.5234	292898.7538	272176.1747	425546.9346	379709.1748	361344.5739	346216.4961	473609.5125	466944.3996	492989.5209	228382.6099	461978.2781	296706.0682	488116.4956	388029.2753	501909.4613	443807.3099	277279.772
657	122245.0912	386611.5019	45612.83753	193758.9651	501101.1629	28575.47508	256640.0934	37911.46328	32323.06985	185294.2541	192997.9685	87973.86086	37166.10354	49227.14989	34930.88525	93516.60525	82694.95869	746137.5713	334920.8247
658	42354.05898	150750.2257	10454.6696	181094.1617	378809.414	1946.051204	46421.96761	1213.922331	947.8632878	0	0	3333.086884	0	0	529.0096086	809853.5226	23153.64849	104427.4606	459909.7969
659	460179.9269	361711.4005	111373.4777	555492.5241	754086.3212	209145.2599	384337.354	483147.7035	182414.2756	2474716.694	1260163.075	407189.0717	0	7172.659817	56902.79453	382907.7795	470180.8572	1460087.021	369533.4407
