Feature	Intercept_mean	C(NASH_category, Treatment('Non_NASH'))[T.NASH]_mean	Intercept_std	C(NASH_category, Treatment('Non_NASH'))[T.NASH]_std	Intercept_hdi	C(NASH_category, Treatment('Non_NASH'))[T.NASH]_hdi
a3cb3a29483774a30b7ce32181738968	-8.764714612999999	0.7653149121094995	1.619401855038718	1.738756318834217	(-11.3065, -5.89319)	(-2.43267, 4.0197)
b5101677c1de7ee38adaadd07903fd86	-11.506745916079502	0.5331421334900007	3.814304902486521	3.0872153573032026	(-18.0007, -3.48051)	(-5.69456, 6.2234)
985335f6d7965db9b58dcd8f741f2c3b	-4.674672796000002	-0.8813337496849992	0.8536471665303278	0.9979106829980319	(-6.02942, -3.0169)	(-2.78011, 0.851118)
f1cc71ba3d3e0e9964c58dafa8a8bbc0	-5.406750019000006	-1.6864302140239027	1.2081526957382	1.471056066774466	(-7.51534, -2.96018)	(-4.55667, 1.0856)
329b37aa52492b9afe45e2e71f73b685	-5.902182927969992	-4.424449822184999	1.8089977810395323	3.144715408133571	(-9.08146, -2.49168)	(-10.0752, 1.66583)
74f1968b8430f123493c159111e08538	-6.544494864999988	-0.9034560508632001	0.8398604341240176	1.0315566631976323	(-7.95294, -4.75923)	(-3.04947, 1.0346)
339c9fff6b3961ff4fc9293e90b23460	-12.884811402500022	1.6950590112745019	2.4776609214472094	2.3277522939553927	(-17.9689, -8.6964)	(-2.26794, 6.31288)
a513ee539eecb4b239be5dfaa3b8b3c4	-6.883261470000014	-1.3934816012959996	0.7638129925973632	0.938564014828074	(-8.20137, -5.52898)	(-3.11068, 0.357905)
8e1196dc3d2b30058796446c0d686475	-6.21357606369999	-0.4046811592179999	1.7165655238814608	1.9657247557107456	(-8.98811, -3.13557)	(-3.79657, 3.56657)
4fb2645a3c6527f0104f151860203109	-8.6250588671	-0.802145873225	2.5216430469399227	2.3814328372923486	(-12.3332, -3.37447)	(-5.76873, 3.70372)
58f02a8678dfe590aeea33eda191b089	-6.410638841999998	0.6467524958349988	3.4369387950581256	3.651792523612951	(-12.1593, -0.025771)	(-6.69987, 7.09705)
e613626b2ce8bfbf28995d9b11edaeed	-6.387172908500003	-3.5036608762349983	1.3651405232205303	1.9400329526528104	(-8.60554, -3.66813)	(-7.45073, -0.0557014)
1247b655d9804d0973d52adb92a8975e	-9.14248371	-0.3880067063935	0.4314081166609364	0.5534651307689106	(-9.93152, -8.28702)	(-1.44029, 0.651301)
97525d2e1aee047c16dc6d32a3bdab87	-7.031424879999987	-1.4741874567624984	1.1765194935809116	1.403805011743858	(-9.09755, -4.84501)	(-4.19062, 1.02337)
d88779e31be1f396751ddf939ddf6411	-8.324064183180003	-3.802307696702497	3.282295801920338	4.417663573009269	(-13.0902, -1.42453)	(-11.6658, 5.3041)
db9db3b1bb08f37fccd7afb6554cf79c	-8.721225787854996	1.4259908901774994	3.8456880864346443	3.6138349898431232	(-15.8333, -1.73543)	(-5.80827, 7.72176)
e9b7ddfac6ddbf88f1547702c21aa818	-8.695815105000014	-5.527112162200013	1.4420832742604313	3.401422216867742	(-11.0405, -5.56261)	(-12.8214, -0.0349025)
fd2ad9251fb6bdea81fc1029aa50b634	-2.5925944884999943	0.35056757910000025	0.6784890574514271	0.8022769891416466	(-3.82041, -1.28742)	(-1.20841, 1.85487)
b285fb4cfa7ec32bd30563d06b8ad433	-6.659140564999986	-1.1381639625950022	1.131403651974543	1.3910137171219756	(-8.80601, -4.68899)	(-3.70492, 1.51499)
7a2e014faaca1839b16b6121c9e02e47	-7.977308901799994	0.5194977777250019	4.604972201405097	4.260292013667257	(-16.0271, 1.03894)	(-8.11131, 7.99589)
05f9f7bafbfdbdd1299b19b1048b2283	-8.087945159999999	0.8275083679349995	0.6870744728956057	0.8312875604380943	(-9.28636, -6.704)	(-0.711521, 2.34271)
22dcb100d9f9dcdf1997952348384057	-6.418242644999999	-0.4212817891117491	0.7819432951207858	0.9145955483683917	(-7.81288, -4.9864)	(-2.12089, 1.3641)
866b299de76305f77c0994d290b00fd9	-7.564727449999998	-1.5924392108000032	1.071997122950942	1.281239016549301	(-9.55294, -5.61205)	(-4.18251, 0.666756)
