Name	ratio	min	max	cred	cat	condition	week
27855b55c9784b5f3bafa12b609ae489 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309	-1.9543012545915	-5.23006	0.693187	not_credible	Non_NASH	FA	4
6a97843e3ce6847477b341b27b0d265e d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Oribacterium; s__	-1.874083999365	-6.37553	1.91173	not_credible	Non_NASH	FA	4
599fb369409af5854ed704b89dba2fe6 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Enterenecus; s__Enterenecus sp004560375	-1.755011720635	-5.72122	2.21379	not_credible	Non_NASH	FA	4
967a7958406dfe8af43d80a02afd05b9 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	-1.733640511605	-4.30045	1.09136	not_credible	Non_NASH	FA	4
80e9ce0ecee127d5a8cb96d9cf34d401 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	-1.535668732	-7.29287	3.74635	not_credible	Non_NASH	FA	4
7962fd1e48eb3ee4290fa19840f3c1c5 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	-1.521330487105	-3.13258	0.0837892	not_credible	Non_NASH	FA	4
0ad66f80d24a4bed3f8bd4b1be1b3c6c d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Anaerovoracaceae; g__; s__	-1.462971577205	-6.90687	3.65468	not_credible	Non_NASH	FA	4
9b513b14e81757bb9537e723bdaa1468 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Clostridium_AP	-1.4250702648055	-4.52282	1.36428	not_credible	Non_NASH	FA	4
57bb0243cf4bafbb2a58563e4ffc5784 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Merdisoma; s__Merdisoma sp011959465	-1.3968131362	-6.57862	2.49298	not_credible	Non_NASH	FA	4
b285fb4cfa7ec32bd30563d06b8ad433 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Butyricicoccaceae; g__Pseudobutyricicoccus; s__Pseudobutyricicoccus sp003477405	-1.391330926645	-3.23174	0.12107	not_credible	Non_NASH	FA	4
7f5a58e7d359c52af06be1456c75d9b5 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Christensenellales; f__CAG-552; g__; s__	-1.3312057392605	-7.26354	4.63369	not_credible	Non_NASH	FA	4
e0f234784df2494390ef5659eaa69184 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Dysosmobacter	-1.305534922645	-2.8568	0.211785	not_credible	Non_NASH	FA	4
af4fd07a19035add3a54f4fd0cc11352 d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes_A_871400; s__	-1.2688195948	-2.22864	-0.399777	credible	Non_NASH	FA	4
5a24bed35972fe08ceb47f6abd173bb8 d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Duncaniella; s__Duncaniella freteri	-1.258638090985	-3.87786	1.37065	not_credible	Non_NASH	FA	4
1c51e337849e320482e8d9b755ee37d3 d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__UBA7173; s__UBA7173 sp002491305	-1.247413152245	-7.35695	5.4079	not_credible	Non_NASH	FA	4
7f782768e8d3067af0a923af092239d3 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	-1.23778462016	-2.4026	-0.0326801	credible	Non_NASH	FA	4
6124ce129bdddcbcd6d5d62ad3fba4dd d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculum; s__Muribaculum intestinale	-1.223702427762	-2.90779	0.461072	not_credible	Non_NASH	FA	4
4871043dc895f84c21e672afb0b9caca d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Kineothrix; s__Kineothrix sp000403275	-1.21353481958	-4.59367	2.37455	not_credible	Non_NASH	FA	4
7c040883f42eca28c6629a5e00fd4af9 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Kineothrix; s__Kineothrix sp000403275	-1.2122306808157	-3.02007	0.388902	not_credible	Non_NASH	FA	4
6afe22267ea7abb7e19d1ac5fd390943 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__TANB77; f__CAG-508; g__CAG-269; s__CAG-269 sp000431335	-1.207954148925	-6.62165	4.85278	not_credible	Non_NASH	FA	4
79e9e337b10e2d298bb1b3bde946782d d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Escherichia_710834	-1.155821235765	-3.64461	1.2718	not_credible	Non_NASH	FA	4
b38e94e93cdfd2db2d26c7e1cf6d5739 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Eubacterium_G	-1.14644846984	-6.17189	2.89398	not_credible	Non_NASH	FA	4
29022c79e233fefa9171fd09e4533750 d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Duncaniella; s__	-1.1455086757265	-5.99592	4.55269	not_credible	Non_NASH	FA	4
c46fb709d49143a3f9b42ed3d3ec3a24 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Merdisoma; s__Merdisoma sp011959465	-1.123822293641	-2.55236	0.440602	not_credible	Non_NASH	FA	4
a7810d3069cbf6d0c54db6b9b67b1154 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae	-1.116921160495	-4.46095	2.10153	not_credible	Non_NASH	FA	4
ba3b9e93447fcc794830a10bd636b257 d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_595427; f__Burkholderiaceae_A_595427; g__Parasutterella	-1.1094373747115	-4.7987	2.87048	not_credible	Non_NASH	FA	4
879b108ee3daab7dbbb2914d50ed92f0 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Solibaculum; s__	-1.040308384665	-6.7175	4.44894	not_credible	Non_NASH	FA	4
2736cdb062302a93a544725af357e7d7 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	-1.023075159665	-3.26842	1.18152	not_credible	Non_NASH	FA	4
28c175fe53daa07decb4c94cca5b4f89 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Lawsonibacter; s__Lawsonibacter asaccharolyticus	-1.0123293895625	-4.64596	1.79729	not_credible	Non_NASH	FA	4
d29fe3c70564fc0f69f2c03e0d1e5561 d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	-0.9688180079725	-6.68654	4.07157	not_credible	Non_NASH	FA	4
f85b2a937e5b10dd9f5aa30343c7da4d d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Merdibacter; s__	-0.96154226387494	-2.53454	0.767061	not_credible	Non_NASH	FA	4
d6f3a6808f1fb78039f2583994b3f739 d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Bifidobacteriaceae; g__Bifidobacterium_388775	-0.96037779833	-4.99243	2.42947	not_credible	Non_NASH	FA	4
243e008192b0a946b5550715dab8e75c d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921	-0.940538987084999	-5.30438	3.0285	not_credible	Non_NASH	FA	4
ab22e08cc276e3eb6530e2d9ec630488 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	-0.90465583183405	-2.96498	1.07389	not_credible	Non_NASH	FA	4
74f1968b8430f123493c159111e08538 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Limivicinus; s__Limivicinus sp002320035	-0.901928593928999	-1.87549	0.0959378	not_credible	Non_NASH	FA	4
8bbc92e9c53f0b9f1ea8ff76b16f132f d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__COE1; s__	-0.8925894249345	-3.31083	1.58916	not_credible	Non_NASH	FA	4
699071a4a7ce68918e4cd93a61275ecd d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	-0.883454519625	-5.97184	4.66207	not_credible	Non_NASH	FA	4
bc3944ce7e67c90a57554226d6f96d30 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	-0.858713200421	-6.4257	3.9313	not_credible	Non_NASH	FA	4
83b766b6e9b6b0420cc0fd1c05689d2d d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	-0.855443957444999	-3.14921	1.59936	not_credible	Non_NASH	FA	4
1a8f4d78785f78a1ac4e95b79749e6ca d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Anaerotignaceae; g__Anaerotignum_189125; s__Anaerotignum lactatifermentans	-0.849632076416	-2.46865	0.595598	not_credible	Non_NASH	FA	4
8e1196dc3d2b30058796446c0d686475 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Evtepia	-0.844727948757999	-5.39127	3.72526	not_credible	Non_NASH	FA	4
cf7f7463ab3cfdd7d0a4046d06f37dc8 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Clostridium_Q_134526; s__Clostridium_Q_134526 sp009911305	-0.835801848959998	-2.03605	0.306388	not_credible	Non_NASH	FA	4
ab4a8723e7360cd7210a03fa5a8746ab d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Merdisoma; s__Merdisoma sp011959465	-0.83463056262	-2.31531	0.516861	not_credible	Non_NASH	FA	4
21b8486e169a9d5161d8ec072aeb59b9 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Anaerotruncus; s__Anaerotruncus sp000403395	-0.831593736772001	-1.65517	0.0807128	not_credible	Non_NASH	FA	4
c9a9e220b2b8de9c076c7dc988ce119f d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Haloplasmatales_A; f__Turicibacteraceae; g__Turicibacter; s__	-0.81865841296	-7.19433	5.80196	not_credible	Non_NASH	FA	4
666e2ee0d320b0e49078ed8a907ae558 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__UBA946; s__	-0.8025217076	-6.37981	4.72817	not_credible	Non_NASH	FA	4
c9c8a632f5b02623ea0e55f92fc543cd d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Lawsonibacter	-0.791557669459999	-8.29048	6.39665	not_credible	Non_NASH	FA	4
cd96684558ab3cd7d8c0a321ae72eb31 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Christensenellales	-0.784066949774501	-5.28281	3.64678	not_credible	Non_NASH	FA	4
