row ID	TW.AE.002	TW.AF.001	TW.AG.002	TW.AI.001	TW.AK.001	TW.AM.001	TW.AN.001	TW.AO.001	TW.AP.002	TW.AQ.001	TW.AR.001	TW.AT.001	TW.AU.001	TW.AV.001	TW.AW.001	TW.AX.001	TW.AY.001	TW.AZ.002	TW.BA.002	TW.BD.002	TW.BE.002	TW.BG.001	TW.BI.001	TW.BJ.002	TW.BK.001	TW.BL.002	TW.BM.002	TW.BN.001	TW.BO.001	TW.BQ.001	TW.BS.002	TW.BT.001	TW.BU.002	TW.BV.001	TW.BZ.002	TW.CA.001	TW.CB.002	TW.CC.001	TW.CE.001	TW.CF.001	TW.CG.001	TW.CH.001	TW.CI.002	TW.CK.001	TW.CN.002	TW.CO.001	TW.CP.001	TW.CQ.001	TW.CS.002	TW.CT.001	TW.CU.002	TW.CV.001	TW.CW.001	TW.CY.001	TW.CZ.001	TW.DA.002	TW.DB.001	TW.DG.001	TW.DI.002	TW.DJ.001	TW.DK.002	TW.DM.002	TW.DP.002	TW.DQ.001	TW.DR.001	TW.DS.002	TW.DU.002	TW.DX.001	TW.DY.002	TW.DZ.001	TW.EE.001	TW.EH.002
1917	0	0	0	0	0	0	0	0	0	0	0	0	0	9.520151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.133678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.551222	0	62.010506	0	0	0	0	0	0	0	0	0	0	0	0	0
1368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.811535	0	0	0	0	0	0	0	0	0	88.84955	0	0	12.777658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661.58685	0
1127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4368.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1193	0	0	0	0	3240.9836	0	0	0	0	0	0	0	0	120.24945	0	0	0	0	0	96.9985	0	0	0	0	0	0	0	0	0	0	0	401.41547	0	0	0	0	0	0	0	0	1372.9568	0	204.03044	0	1076.7437	6.882743	39.447	0	1466.2289	0	3329.1465	0	0	0	0	0	0	0	0	0	0	119.55142	0	0	53.476948	0	0	0	0	0	1189.5464	198.6854
2038	0	0	0	0	88.64769	0	0	0	0	0	0	0	0	70.85374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.099782	0	0	21.738596	0	0	0	0	0	0	0	0	9.10886	0	54.627388	0	0	0	0	0	62.33673	0	11.104752	0	0	40.85289	0	16.949005	0	0	103.13194	0	0	0	0	0	598.4823	0	0	0	0	8.766499	335.07996	0
2671	72.809044	42.44005	24.032278	43.965744	47.87728	0	0	0	16.45586	19.780823	407.2477	163.04027	130.42577	5085.9795	0	24.962927	12.804135	26.710289	63.49213	26.338573	0	5.7214794	71.72362	31.24434	65.19893	0	118.327515	0	9.183174	26.501507	0	160.14774	0	47.785027	87.99977	83.84775	0	26.537136	226.05879	596.9845	1626.8027	1052.7301	170.36835	329.95123	0	53.48089	48.376625	0	0	0	1342.9137	0	6.617818	626.3021	189.30516	32.546364	126.3104	0	2535.1267	0	9.456087	0	0	0	12.627695	0	10.102156	78.44348	78.70486	164.58057	726.17334	9.32505
6464	172.42761	0	0	0	0	0	8.951069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.438786	0	0	0	0	0	0	0	0	0	88.67627	0	0	0	0	0	5.6558876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
295	0	0	0	0	0	0	0	0	0	0	0	0	0	9.323919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.431686	0	0	0	0	0	0	0	0	0	0	0	409.6803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.94705	0	0	0	0	0	0	0	0	0	0	0	21.376083	0	0	0	96.949455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	758.37946	0	9.232423	0	60.017387	0	0	0	326.5106	0	86.94742	0	0	0	0	0	0	0	0	0	0	9.73394	0	0	32.949432	0	0	0	0	0	0	0
3453	0	0	0	7.841114	7.5412073	0	39.922962	0	0	0	101.859886	43.418587	0	83.137726	0	0	20.869343	0	0	0	7.45915	0	0	0	0	0	0	0	9.283931	11.730644	0	70.1855	0	0	19.026093	31.479313	0	17.806976	38.482407	39.93236	46.150322	52.192146	0	30.959429	0	0	10.531624	0	0	20.191664	49.615696	0	7.7628913	0	32.61869	0	27.5775	0	0	11.197319	12.437342	0	0	20.681381	11.856211	0	0	0	0	13.85322	35.228565	0
900	0	9.558294	0	0	0	0	0	0	0	0	106.39802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328.95898	0	25.516674	0	0	0	0	0	0	0	0	0	0	0	24.740019	0	0	4.5309887	0	0	0	0	0	0	0	0	0	5.3466606	0	128.44228	0	158.69142	0
217	1643.3179	558.20593	957.60706	6080.476	432.411	0	1605.0356	26.159155	74.46421	146.95227	1241.1942	3521.3047	564.9907	575.69666	658.7247	515.8203	5130.862	5.3720326	707.19507	297.8181	0	0	41.257107	713.56995	287.4996	147.36552	2745.1897	2950.7502	5283.071	1151.5573	260.11887	100.707306	1270.0237	708.79236	745.6559	4130.864	0	141.92828	203.84242	727.0926	151.0512	954.2758	678.8915	283.8705	249.52063	64.60646	113.435005	2598.9412	87.70768	56.68316	651.11914	17.288742	124.63867	337.10617	247.69241	187.83571	141.9352	0	144.88864	187.57098	211.30023	134.12624	60.43907	43.830772	438.6216	204.22833	194.18362	355.80536	1618.9805	315.86243	527.6235	327.599
2220	0	0	0	0	0	0	0	0	0	0	0	0	0	488.67804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.488373	0	0	0	0	0	0	0	0	0	0	0	129.17177	0	0	0	0	20.924095	20.773514	0	0	0	0	0	0	62.140594	0	0	0	0	289.2086	0	0	0	0	0	113.898476	0	0	0	0	0	2783.3633	0
171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3284.2312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15814.166	0	12673.096	0	0	0	0	0	0	0	0	0	0	0	0	0
885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.35707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1688	0	0	0	0	0	0	0	0	0	0	0	0	0	8.40359	0	182.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.43827	0	1189.6741	0	0	0	0	0	0	0	0	0	0	0	0	0	153.91743	0
305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217.30754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2261	0	25.854471	0	0	50.05136	0	7.4255905	0	0	0	0	0	0	25.573898	0	0	0	0	0	0	29.555958	0	0	0	0	0	0	0	0	0	0	15.3866	0	0	0	0	0	0	15.4217615	10.874428	0	0	246.50195	42.793694	10.903541	0	0	0	0	0	0	0	0	76.14268	15.018677	91.99162	0	0	0	0	0	0	0	0	0	0	0	0	0	39.33604	442.28076	32.056694
2016	19.140633	10.211124	17.169361	122.81885	12.869469	0	120.66909	0	0	0	38.023956	204.41284	7.7998743	8.05563	7.326725	5.648552	220.30493	0	6.8674817	0	0	0	0	15.694004	7.379428	0	97.88714	54.477913	158.98566	6.1154547	0	0	21.44669	0	0	110.5777	0	0	9.445339	15.932207	9.091069	36.085133	0	0	0	0	0	30.026394	7.3541403	0	22.902796	0	0	0	0	0	0	0	0	0	34.121464	0	0	0	26.318419	0	0	9.904779	43.983154	0	0	0
515	0	0	0	49.642395	0	0	8.820502	0	0	0	43.31545	25.716507	0	0	0	0	254.61449	0	0	0	0	0	0	0	0	0	66.65131	0	218.50203	0	0	0	0	0	0	0	0	0	0	33.734894	0	0	0	0	0	0	0	13.48655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74.86954	0	0	0
783	0	0	0	0	0	0	0	0	0	0	9.661253	0	0	0	0	0	54.27386	0	0	0	0	0	0	0	0	0	0	0	106.33436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
855	0	0	0	28.697018	0	0	29.325788	0	0	0	0	0	0	29.14883	0	0	18.867968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.8486724	0
8757	0	0	0	0	0	0	48.03177	40.597702	0	0	32.164562	0	0	0	0	0	28.284452	0	0	0	0	0	0	0	0	53.35919	0	0	19.938023	0	0	0	0	0	0	0	61.184517	0	0	0	0	75.10001	0	57.27134	0	25.966793	40.618225	0	0	84.09749	34.22051	53.744816	0	0	0	0	0	0	0	46.607853	9.956303	48.77607	0	54.31038	0	69.10205	42.761257	0	42.38902	44.482315	0	0
1241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.621954	0	0	0	0	0	0	0	0	0	125.35636	0	0	0	0	0	0	0	0	0	7.9852247	0	0	0	0	12.344124	0	0	8.128183	0	14.935256	0	0	0	0	0	0	0	0	0	0	0	21.230965	0	19.051872	0	0	0	0	0	0	0	0	0	0	29.945547	0	0
668	448.60147	5597.472	1310.1019	1002.87396	4986.566	1142.2507	971.3078	56.517357	0	31.624	6015.642	722.2533	202.74062	14348.919	259.07333	542.73035	2112.5652	5.0058002	219.98357	476.1477	747.5269	0	0	324.3269	145.7414	102.40228	732.13367	921.6325	1637.3247	124.30191	68.16839	2467.211	625.9731	23.279015	265.96094	747.8223	10.576341	1390.5162	1187.2048	22203.992	9108.681	5668.191	33218.168	4307.319	708.49896	1564.7556	2311.1511	2569.0447	381.74222	377.4828	666.25543	44.602127	132.11205	13285.112	993.2194	5857.006	2605.2222	0	13330.142	906.91516	1409.0374	162.5737	399.7255	326.38632	814.3708	1926.2052	1212.3135	3169.112	3493.4358	6218.8228	12236.496	5728.768
