Feature	Intercept_mean	C(ATTRIBUTE_groups, Treatment('G1P'))[T.G2P]_mean	Intercept_std	C(ATTRIBUTE_groups, Treatment('G1P'))[T.G2P]_std	Intercept_hdi	C(ATTRIBUTE_groups, Treatment('G1P'))[T.G2P]_hdi
7941	-9.175348484300011	-1.017876245299998	3.702717324891606	4.9631910811492	(-14.7602, -1.69911)	(-10.5093, 7.7831)
6021	-9.72575926	-0.7075004998850016	1.4737485701213937	3.2635322506665023	(-12.1816, -7.16891)	(-6.30162, 5.74497)
6339	-9.967813924999971	-0.7595783696299986	0.6707992600397263	1.504474395665511	(-11.1176, -8.73715)	(-3.34378, 1.98641)
1735	-12.23633626869998	-0.7576915549769998	5.972360526032261	4.755437157153514	(-22.3166, -1.25663)	(-9.85186, 7.8485)
8199	-11.94662103624999	-1.5063425138650017	3.883197833312316	4.8042873193204745	(-17.7587, -4.603)	(-10.1762, 7.95975)
2105	-11.122626303499985	0.26947382456499996	2.3017072111866304	3.6471130453201126	(-14.4336, -6.41791)	(-6.12966, 7.57543)
7229	-4.867712504999999	-0.0758994769070501	0.2280622706437323	0.48045958815996476	(-5.25896, -4.41881)	(-0.967192, 0.811796)
7679	-9.613031780000014	0.23815043860450016	0.46328226880038426	0.9613593422874513	(-10.4508, -8.73361)	(-1.44652, 2.12467)
7897	-9.788546010000008	0.39078655575000015	1.1054541560446012	2.2497685819251783	(-11.5975, -7.66723)	(-3.41042, 5.10723)
5910	-8.689528530000004	0.21557790442649996	0.2747514462413966	0.5592366219434216	(-9.17828, -8.16423)	(-0.761437, 1.31747)
4112	-7.918059858849997	-1.4513247625499994	2.843919622093346	5.032241448577522	(-12.0764, -2.23599)	(-10.8103, 8.2982)
4724	-9.196546990549995	-1.0169240832709991	3.292017052750768	5.129809812419639	(-14.6962, -2.96903)	(-10.8809, 8.1073)
3660	-11.094097294999973	1.4077844041799983	1.1924627492470912	2.275855204533689	(-13.177, -8.98772)	(-2.92063, 5.66215)
6484	-11.07558781850002	0.059380724069500075	1.4837953255181762	2.5757843391962103	(-13.3852, -8.22876)	(-4.27126, 5.46762)
3698	-10.342200994999999	1.2181723934799995	1.0996002217955216	2.157018476943342	(-12.1925, -8.11883)	(-2.37998, 5.68916)
