FeatureID	Compound_Name	mz	mtb_group	molecularFormula	adduct	most specific class	level 5	subclass	class	superclass	all classifications
204	Suspect related to PALMITOYLCARNITINE	371.3268883	unknown	C18H30O2	[M + H]+	Long-chain fatty acids	Long-chain fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Straight chain fatty acids; Unsaturated fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1751	Candidate Trihydroxylated bile acid (delta mass -3.9946; sirius atomic difference: 1C, -1O; buddy atomic difference: 1C, -1O)	405.3000746	bile acids	C18H31N3O5	[M + H]+	Dipeptides	Peptides	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; N-acylpyrrolidines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Proline and derivatives; Isoleucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities
288	Suspect related to Massbank:RP024902 Decanoyl-L-Carnitine|Decanoylcarnitine|3-decanoyloxy-4-(trimethylazaniumyl)butanoate	426.3579275	carnitines	NA	NA	NA	NA	NA	NA	NA	NA
2917	Candidate Trihydroxylated bile acid (delta mass -0.9837; sirius atomic difference: 1H, 1N, -1O; buddy atomic difference: 1H, 1N, -1O)	408.3109674	bile acids	NA	NA	NA	NA	NA	NA	NA	NA
2356	Massbank:LU030103 Formononetin|7-hydroxy-3-(4-methoxyphenyl)chromen-4-one	269.0809801	unknown	NA	NA	NA	NA	NA	NA	NA	NA
598	Suspect related to Ser-Leu	332.2180616	amines	C29H64N5O3P	[M + H]+	6-aminopurines	6-aminopurines	Purines and purine derivatives	Imidazopyrimidines	Organoheterocyclic compounds	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Amines; 6-aminopurines; Imidolactams; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
415	Suspect related to 2-((3R)-3-((3R,5S,7R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)butanamido)ethane-1-sulfonic acid	519.3102297	bile acids	C37H66O6	[M + Na]+	Triacylglycerols	Triacylglycerols	Triradylcglycerols	Glycerolipids	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Diacylglycerols; Triacylglycerols; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Diradylglycerols; Triradylcglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
3909	Suspect related to Spectral Match to Methyl hexadecanoate from NIST14	163.1480809	unknown	NA	NA	NA	NA	NA	NA	NA	NA
15	Spectral Match to L-Tryptophan from NIST14	188.0707236	unknown	NA	NA	NA	NA	NA	NA	NA	NA
604	Suspect related to Spectral Match to Hexaethylene glycol from NIST14	344.2282922	glycols	NA	NA	NA	NA	NA	NA	NA	NA
2414	Suspect related to Phytomonic acid	339.2896148	fatty acids & other lipids	NA	NA	NA	NA	NA	NA	NA	NA
4203	Suspect related to 1-Oleoyl-sn-glycero-3-phosphocholine	524.3711716	phosphocholines	NA	NA	NA	NA	NA	NA	NA	NA
3915	Spectral Match to L-Tryptophan from NIST14	188.0707001	unknown	NA	NA	NA	NA	NA	NA	NA	NA
286	Suspect related to (R)-4-((3R,5R,8S,9S,10R,13R,14S,17R)-3-hydroxy-10,13-dimethyl-6-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid	426.3214476	bile acids	C24H38O4	[M + H]+	Vitamin E compounds	Vitamin E compounds	Quinone and hydroquinone lipids	Prenol lipids	Lipids and lipid-like molecules	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Benzopyrans; Alkyl aryl ethers; Phenols; Ethers; Prenol lipids; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Quinone and hydroquinone lipids; Vitamin E compounds; Diterpenoids; Carbonyl compounds; Benzenoids; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
