FeatureID	Compound_Name	mz	mtb_group	molecularFormula	adduct	most specific class	level 5	subclass	class	superclass	all classifications
1259	NA	271.1290289	amines	C32H46O9	[M + Na]+	Glycosylglycerols		Glycosylglycerols	Glycerolipids	Lipids and lipid-like molecules	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Lineolic acids and derivatives; Glycosylglycerols; Carboxylic acid derivatives; Carboxylic acid esters; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1260	NA	271.1518549	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1263	NA	291.1952877	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1265	NA	300.1805562	unknown	C29H44O4	[M + Na]+	3-hydroxysteroids	3-hydroxysteroids	Hydroxysteroids	Steroids and steroid derivatives	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Steroids and steroid derivatives; Organooxygen compounds; Cyclic alcohols and derivatives; Hydroxysteroids; Secondary alcohols; Carbonyl compounds; 3-hydroxysteroids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1266	NA	305.1362117	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1267	NA	305.2111371	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1268	NA	305.2111868	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1269	NA	317.2110833	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1271	NA	321.2403658	unknown	C24H28N2O6	[M + H]+	Coumaric acids and derivatives	Coumaric acids and derivatives	Hydroxycinnamic acids and derivatives	Cinnamic acids and derivatives	Phenylpropanoids and polyketides	Organic compounds; Lipids and lipid-like molecules; Styrenes; Coumaric acids and derivatives; Alkyl aryl ethers; Phenols; Anisoles; Methoxyphenols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Carboxylic acid amides; Cinnamic acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Hydroxycinnamic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Cinnamic acid amides; Cinnamic acid esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Fatty Acyls; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Phenoxy compounds; Chemical entities
1272	NA	325.1525718	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1273	NA	325.1526246	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1274	NA	325.2526733	unknown	C18H30O4	[M + Na]+	Lineolic acids and derivatives		Lineolic acids and derivatives	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Hydroxy fatty acids; Lineolic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1275	NA	328.1869607	unknown	C29H65N6O5P	[M + H]+	6-aminopurines	6-aminopurines	Purines and purine derivatives	Imidazopyrimidines	Organoheterocyclic compounds	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Organophosphorus compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Imidazopyrimidines; Benzene and substituted derivatives; Substituted imidazoles; N-substituted imidazoles; Benzenoids; Amines; Primary amines; 6-aminopurines; Imidolactams; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1276	NA	328.2119835	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1277	NA	333.1788668	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1278	NA	337.1757918	bilirubins	NA	NA	NA	NA	NA	NA	NA	NA
1279	NA	337.1758488	bilirubins	NA	NA	NA	NA	NA	NA	NA	NA
1280	NA	339.1782914	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1281	NA	341.1474012	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1282	NA	343.2220488	unknown	C28H40O3	[M + H]+	Prenol lipids			Prenol lipids	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1283	NA	350.1633053	fatty acids & other lipids	NA	NA	NA	NA	NA	NA	NA	NA
1284	NA	353.247701	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1285	NA	353.2474859	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1286	NA	354.1582795	unknown	C12H23N9O7	[M + H]+	N-acyl-alpha amino acids	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acids; Carbonyl compounds; N-acyl-alpha amino acids; Amines; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1287	NA	356.2182753	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1288	NA	358.1321222	unknown	C41H68O8	[M + H]+	Triacylglycerols	Triacylglycerols	Triradylcglycerols	Glycerolipids	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Lineolic acids and derivatives; Carboxylic acid derivatives; Triacylglycerols; Carboxylic acid esters; Carbonyl compounds; Tricarboxylic acids and derivatives; Triradylcglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1289	NA	358.197434	unknown	C26H40N4O5	[M + H]+	Oligopeptides	Peptides	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenethylamines; Amphetamines and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Benzene and substituted derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Pyrrolidine carboxylic acids; Benzenoids; Amines; Primary amines; N-acylpyrrolidines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Proline and derivatives; Isoleucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities
1290	NA	358.368113	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1291	NA	359.1829646	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1293	NA	362.253597	unknown	C28H44O7	[M + K]+	Dicarboxylic acids and derivatives		Dicarboxylic acids and derivatives	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1294	NA	362.253895	unknown	C18H30O3	[M + H]+	Lineolic acids and derivatives		Lineolic acids and derivatives	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Ketones; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Acryloyl compounds; Organooxygen compounds; Unsaturated fatty acids; Lineolic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Enones; Carbonyl compounds; Long-chain fatty acids; Alpha,beta-unsaturated carbonyl compounds; Alpha,beta-unsaturated ketones; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1295	NA	363.1555097	unknown	C27H40N4O8	[M + H]+	Oligopeptides	Peptides	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenethylamines; Amphetamines and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Benzene and substituted derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Benzenoids; Amines; Primary amines; N-acylpyrrolidines; Fatty Acyls; Organic oxides; Azacyclic compounds; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities
1296	NA	364.2228718	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1297	NA	368.218073	amines	NA	NA	NA	NA	NA	NA	NA	NA
1298	NA	382.2591137	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1299	NA	383.204387	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1300	NA	385.1067938	unknown	C12H12N4O16	[M + H]+	Alpha amino acids and derivatives	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Tricarboxylic acids and derivatives; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1301	NA	387.1778857	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1302	NA	388.1872822	amines	NA	NA	NA	NA	NA	NA	NA	NA
1303	NA	388.232996	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1304	NA	390.1946465	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1305	NA	390.2849244	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1306	NA	392.2183277	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1307	NA	394.2257972	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1308	NA	394.2586634	fatty acids & other lipids	NA	NA	NA	NA	NA	NA	NA	NA
1309	NA	396.219619	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1310	NA	396.2493698	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1312	NA	398.2903056	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1314	NA	411.2096224	unknown	C40H54O2	[M + H]+	Xanthophylls	Carotenoids	Tetraterpenoids	Prenol lipids	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carotenoids; Xanthophylls; Tetraterpenoids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1315	NA	411.3623812	carnitines	NA	NA	NA	NA	NA	NA	NA	NA
1316	NA	416.2102056	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1317	NA	417.118054	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1318	NA	420.2415033	bile acids	NA	NA	NA	NA	NA	NA	NA	NA
1319	NA	423.1803881	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1320	NA	424.2004164	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1321	NA	425.2761803	amines	NA	NA	NA	NA	NA	NA	NA	NA
1323	NA	427.1505553	unknown	C24H40O6P2	[M + Na]+	Dihydroxy bile acids, alcohols and derivatives	Hydroxy bile acids, alcohols and derivatives	Bile acids, alcohols and derivatives	Steroids and steroid derivatives	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Steroids and steroid derivatives; Organic acids and derivatives; Organooxygen compounds; Dihydroxy bile acids, alcohols and derivatives; Cyclic alcohols and derivatives; Hydroxysteroids; Bile acids, alcohols and derivatives; Secondary alcohols; Carbonyl compounds; Hydroxy bile acids, alcohols and derivatives; 3-hydroxysteroids; 12-hydroxysteroids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1324	NA	428.2103315	unknown	C21H31N3O5	[M + H]+	Oligopeptides	Peptides	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenethylamines; Amphetamines and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Benzenoids; Amines; Primary amines; Phenylpropanoic acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Phenylalanine and derivatives; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities
1325	NA	430.710252	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1327	NA	439.0999321	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1328	NA	441.2249498	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1329	NA	441.3075393	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1330	NA	445.2582615	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1331	NA	462.1757905	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1332	NA	463.3418236	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1333	NA	464.2368811	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1336	NA	468.2488883	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1339	NA	470.3703792	unknown	C32H50N4O10	[M + H]+	Dipeptides	Peptides	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Phenethylamines; Amphetamines and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary alcohols; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Benzene and substituted derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Benzenoids; Amines; Secondary amines; N-acylpyrrolidines; Aralkylamines; Fatty Acyls; Organic oxides; Azacyclic compounds; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities
1340	NA	472.2442742	unknown	C26H44O6	[M + K]+	Lineolic acids and derivatives		Lineolic acids and derivatives	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Lineolic acids and derivatives; Carboxylic acid derivatives; Diacylglycerols; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Diradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1341	NA	473.3611359	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1342	NA	481.2125503	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1343	NA	491.3349118	unknown	C38H53N3O2	[M + H]+	Prenol lipids			Prenol lipids	Lipids and lipid-like molecules	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1344	NA	498.4016406	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1345	NA	503.3710992	unknown	C24H49NO7	[M + H]+	Sphingolipids			Sphingolipids	Lipids and lipid-like molecules	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Fatty acyl glycosides; Carbonyl compounds; Oxanes; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1346	NA	511.3124152	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1349	NA	518.3148346	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1350	NA	526.2468429	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1351	NA	540.3751515	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1352	NA	544.2938208	bile acids	NA	NA	NA	NA	NA	NA	NA	NA
1353	NA	545.2545526	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1354	NA	547.3052357	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1355	NA	573.2470625	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1356	NA	589.2868559	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1358	NA	655.3301473	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1361	NA	700.3376479	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1362	NA	799.5119061	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1363	NA	830.6496937	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1365	NA	209.1172206	fatty acids & other lipids	NA	NA	NA	NA	NA	NA	NA	NA
1367	NA	228.0633071	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1369	NA	234.1702029	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1370	NA	236.0295819	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1371	NA	236.1494332	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1372	NA	237.0846847	unknown	C27H44O3	[M + H]+	Triterpenoids		Triterpenoids	Prenol lipids	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Steroids and steroid derivatives; Prenol lipids; Organooxygen compounds; Cyclic alcohols and derivatives; Hydroxysteroids; Triterpenoids; Secondary alcohols; 3-hydroxysteroids; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1373	NA	241.1048124	unknown	C40H73NO4	[M + H]+	Sphingolipids			Sphingolipids	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1374	NA	241.1435932	unknown	C30H50O10	[M + H]+	Steroidal glycosides		Steroidal glycosides	Steroids and steroid derivatives	Lipids and lipid-like molecules	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Steroidal glycosides; Monocarboxylic acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Hydroxysteroids; Bile acids, alcohols and derivatives; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; Hydroxy bile acids, alcohols and derivatives; O-glycosyl compounds; Polyols; 7-hydroxysteroids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1376	NA	249.1633179	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1377	NA	251.1256112	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1378	NA	252.1594925	fatty acids & other lipids	NA	NA	NA	NA	NA	NA	NA	NA
1379	NA	253.1183055	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1380	NA	255.1205461	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1381	NA	259.0662259	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1382	NA	262.0145509	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1383	NA	265.1548645	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1384	NA	273.1809409	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1385	NA	276.0689155	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1387	NA	288.1807596	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1388	NA	290.1961902	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1389	NA	292.2118971	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1391	NA	293.2109989	fatty acids & other lipids	NA	NA	NA	NA	NA	NA	NA	NA
1393	NA	297.1676367	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1394	NA	299.0917135	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1395	NA	303.170315	bilirubins	NA	NA	NA	NA	NA	NA	NA	NA
1396	NA	304.1755354	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1397	NA	310.0204129	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1401	NA	314.2328375	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1402	NA	317.209017	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1403	NA	319.1367533	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1406	NA	335.2195122	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1407	NA	336.228352	amines	NA	NA	NA	NA	NA	NA	NA	NA
1408	NA	338.1633932	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1409	NA	339.1206225	bilirubins	NA	NA	NA	NA	NA	NA	NA	NA
1410	NA	342.1220008	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1411	NA	346.2225472	unknown	C24H41N3O6	[M + H]+	Bile acids, alcohols and derivatives		Bile acids, alcohols and derivatives	Steroids and steroid derivatives	Lipids and lipid-like molecules	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Bile acids, alcohols and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Substituted imidazoles; N-acyl-alpha amino acids; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Histidine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1412	NA	351.0172214	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1413	NA	352.1213708	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1414	NA	362.3266463	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1415	NA	364.2693946	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1416	NA	365.1573348	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1417	NA	369.2256119	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1418	NA	370.1122797	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1420	NA	381.0572221	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1421	NA	385.2202063	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1422	NA	385.2375958	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1423	NA	399.127896	unknown	C21H44O4	[M + H3N + H]+	Lipids and lipid-like molecules				Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1424	NA	401.1146305	unknown	C22H42O4	[M + H]+	Fatty acid esters		Fatty acid esters	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1425	NA	407.2398494	unknown	C38H64O4	[M + Na]+	Lipids and lipid-like molecules				Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Cyclic alcohols and derivatives; Secondary alcohols; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1426	NA	411.1630587	unknown	NA	NA	NA	NA	NA	NA	NA	NA
1429	NA	425.2688008	unknown	NA	NA	NA	NA	NA	NA	NA	NA
