FeatureID	13L.T1	13L.T13	13N.T1	13N.T13	14L.T1	14L.T13	14R.T1	14R.T13	15L.T1	15L.T13	16R.T1	16R.T13	17N.T1	17N.T13	17R.T1	17R.T13	18L.T1	18L.T13	18R.T13	20N.T1	20N.T13
7e24e9783c5c43ce47aa8aedf71e1909	2	3	2	4	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
6aa346522f77caffe6ea5f15a283e0a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03822cb1cb5fa953c2d32618113177bf	2	3	8	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	89
a1b43fc99656d516d589f09aad0785ed	7	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
75817f86d963de1c228ecc7165d423b2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
afe66aa80b419ae2069587d8f844d6d3	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	2	0	0	1	0	0
232b620c68449ef867edeb991e329d50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
94366ad2fb78da8de44a2389716a6bac	0	1	0	2	0	0	0	0	0	0	0	0	0	0	7	7	0	0	1	0	3
dd7f2207006272a8468cfd7dcfece32f	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	242	175
44df229e124cc01f387e2c21d201245d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7f782768e8d3067af0a923af092239d3	122	25	44	14	0	0	0	0	18	6	4	0	40	62	11	12	32	10	25	53	61
1823467d44f2d1a10e0e037d4a26eca6	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
339c9fff6b3961ff4fc9293e90b23460	0	0	0	4	2	1	2	0	11	3	0	0	1	5	5	2	3	4	0	2	9
cb0ecec60901718d4bfac9d2c2c78c48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
b5101677c1de7ee38adaadd07903fd86	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8bf8d51dc012e10bd34e51098a89fbfe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
49507473b8a1bac5bfd0f1dde8380045	6	2	36	10	28	7	25	2	65	1	5	3	10	5	24	29	56	1	26	0	0
