FeatureID	13L.T1	13L.T13	13N.T1	13N.T13	14L.T1	14L.T13	14R.T1	14R.T13	15L.T1	15L.T13	16R.T1	16R.T13	17N.T1	17N.T13	17R.T1	17R.T13	18L.T1	18L.T13	18R.T13	20N.T1	20N.T13
3371	2876870.388	1166781.211	3550344.932	1472363.436	908959.1269	972024.3407	848959.5587	858599.2704	1753822.06	1104318.027	488305.0052	790784.8121	1306629.803	1213778.842	3047980.684	853801.9376	1091554.93	747008.0076	1587938.093	1646259.343	854827.0069
3372	2770297.551	6215676.593	2571388.295	1753079.666	2550428.555	948936.3506	5688638.005	1155905.935	15100000	2171145.921	102698.3393	261239.5091	355082.6243	241604.9531	3718980.69	139847.0793	280212.7514	162520.6904	339649.1835	678635.9778	268688.3443
3373	229802.812	410981.7633	630750.596	374088.0465	384659.627	292381.3172	322487.262	341309.0012	986334.9102	691827.3677	158868.4342	248103.5938	266168.1045	473240.9953	1298230.753	320878.6174	313319.7649	196318.2157	347821.6631	494510.7262	334086.6834
3374	605796.9586	2491035.556	1802697.929	602299.3681	1408279.734	759045.1602	714808.185	526523.7923	1165704.243	658386.7177	455746.8255	347921.9843	247320.649	488603.4864	852551.4343	320519.1198	138626.3395	25813.97715	267561.2324	471742.2743	342991.8647
3375	69382.66747	315238.1742	159497.9142	211705.4478	119488.5187	172093.7952	76221.61728	62265.69813	120143.5685	191046.8388	11453.22854	59913.77641	441038.5168	457573.9706	457945.8331	247463.9406	523562.0374	407414.4212	714634.6223	593784.6403	421047.5948
3376	96687.76776	57153.49125	53613.6202	16292.6514	109453.499	17065.62679	130554.0933	14383.08951	192480.6747	25225.96393	62797.88661	7493.320879	26328.48944	2188.80537	209639.0946	7808.953576	31758.65696	15377.2542	6616.820719	99483.02419	5891.137052
3377	173235.2531	294238.1414	548386.312	377831.1801	273804.9277	245976.0025	345573.7251	820558.1083	286215.7093	312416.29	2538199.04	201434.5086	222538.1534	704636.8964	409910.8451	320634.302	291288.8823	173389.4943	48402.36261	167324.9132	190250.9529
3378	2704.382772	0	2141.660713	1771.894374	2837.563911	1638.30795	5985.10725	0	10680.26227	3101.296514	0	0	0	0	1827.15874	0	2658.576904	633.3225656	0	0	0
3379	335996.3288	27662.51337	2772648.151	0	127527.4377	0	11280.88361	0	60570.64009	0	0	0	0	0	1067579.933	0	0	0	0	8840.082359	0
3380	0	0	0	0	0	0	0	0	0	5330.556767	0	11137.04021	0	0	0	0	0	0	0	0	925.9171881
3381	186004.2529	994327.9567	383433.5183	169159.7224	76074.4676	20587.54601	2779.613383	44382.34843	2901.088073	136135.7853	1420.832029	22948.11457	0	77096.06813	69658.10578	5476.791034	4858.920092	6345.11274	87326.15268	9133.006327	0
3382	2194065.348	3290878.053	11700000	4258640.309	2048938.502	943076.5512	2698808.404	2575661.479	3498586.187	2882004.693	1048476.869	518584.0037	1032644.987	1090287.853	4117849.51	952265.6927	1697029.317	293365.5508	117512.0214	522256.4558	401546.8172
3383	1587766.442	132680.2883	2474037.237	11691.11032	559888.944	11734.26853	313002.8314	20169.5142	800683.5602	77560.59177	137937.2776	28318.40783	46029.26131	1256.476768	1922954.059	148874.3903	74135.47317	18706.60829	38254.25484	413045.5104	14437.27499
3384	52437.50312	428742.4637	149261.8454	446905.1481	65917.82277	187441.726	114248.7684	347990.8548	29509.02129	334187.7902	160370.2529	385688.848	152607.8962	142000.1443	178410.9136	111687.6063	224684.5897	297717.2645	128580.8823	38885.17825	176842.6306
3385	2424307.007	702778.4908	1027567.591	242513.6254	1230595.654	342503.8135	844680.9941	98624.73663	2256276.955	621693.1363	355921.0773	238985.5888	620596.1305	123319.2684	1926709.188	151960.9448	201320.8413	89750.95393	312768.3104	1790843.976	113625.9205
3386	429590.4825	823710.4896	203881.0761	326291.1772	31415.58765	36069.50931	18939.91857	21261.64343	111200.2146	156013.5437	2910.746939	3782.751033	143730.4811	139468.2342	256798.5672	51856.10167	87838.66631	42153.05712	254674.848	318959.325	74542.62637
3387	356697.4096	609102.9969	173716.9641	276929.3867	30758.12875	27627.44207	21913.38731	16673.54262	144347.57	121974.5165	6938.635238	4820.311487	95282.57747	98855.28493	343913.1411	38519.27697	65675.8411	50545.94014	192556.2246	226193.2247	55845.89258
3388	52793.74974	250547.903	36255.76184	185651.1504	47682.08269	104297.4792	39550.4646	55489.79382	71367.45276	59604.09899	9328.63462	37731.07559	58514.28195	95662.75176	69046.00722	43531.91875	44959.7276	14564.93995	100757.0868	79680.45037	35758.98826
3389	386586.4339	1882514.619	317194.1604	410124.3966	395355.7452	613511.0488	99390.44956	437962.4296	280367.3912	554101.4871	138348.3882	299837.65	185513.732	546345.2707	1174925.649	262423.8063	302406.3474	451132.4148	244717.2355	323402.9246	460522.9985
3390	72226.80832	303617.8424	116473.2011	149628.5952	69148.73276	37244.7776	165816.3139	71717.62782	548241.2333	130695.781	25987.18836	28296.60206	103393.4364	232515.2905	154606.9837	33285.70173	237128.6996	119919.7991	133208.7016	409752.066	196871.4004
3391	138928.906	0	7163.914875	19072.26242	8089.32903	10850.68326	1203.981263	8855.771591	4525.516381	0	21707.24404	0	6888.911517	2088.702071	35287.24988	22135.02672	11567.39406	17419.07446	48876.29357	2060.3739	2614.815969
