FeatureID	13L.N1	13N.N1	14L.N1	14L.N13	14R.N1	15L.N1	15L.N13	16R.N1	16R.N13	17N.N1	17N.N13	17R.N1	18L.N1	18L.N13	18R.N13	19R.N1	20N.N1	20N.N13
58	1681664.011	1942210.765	1705929.55	2878408.058	1576976.862	1871094.914	1842788.016	1530095.182	3662683.461	1815981.412	1779839.535	2119832.818	1794889.692	1695621.925	1229324.203	1279561.325	1564607.703	1697692.969
59	1600615.875	1677773.069	1483674.49	1985764.693	1689069.432	1853414.529	1757979.455	1863129.519	1697113.953	2300492.093	1638679.443	4368277.015	1313293.514	1434890.793	1317538.088	1425196.303	1420229.477	1572806.339
60	10241.88807	0	186162.3551	4155.69033	610534.1499	1298667.039	2372300.302	381813.8599	1102688.919	498429.0235	628454.4475	351890.7995	507990.7907	422233.3074	1229141.102	358909.2467	336728.5874	199429.2153
61	4777747.152	1885816.976	1283756.1	166024.9145	1588102.237	7345778.037	514946.534	1233191.569	337365.0065	296543.8059	256831.3518	1521284.329	1657205.612	358113.3034	4772309.321	5140667.25	591517.3135	176296.4246
62	7265093.571	7129290.759	7352760.46	7730608.593	7542720.64	7207241.735	7543751.966	7148938.119	7629919.91	6997585.945	7197277.082	7195542.35	9392452.316	7734716.011	9023353.566	7152101.638	7116037.058	7654241.553
63	619297.6958	278737.8542	272449.4883	522948.0793	1204527.445	2026690.16	4995793.006	516828.4115	1485503.386	622405.7613	999710.0146	869986.0049	1131918.384	691107.728	6706018.071	956926.9568	587296.822	237393.3272
64	15547.61443	13427.90333	1404962.41	7566.29605	1475072.492	3559538.494	3694489.498	6779551.653	3178247.128	247241.4135	649160.1613	1681048.767	1692884.385	869742.7376	2310621.821	498024.7922	186070.3068	91257.50096
65	163755.0736	234093.4331	153092.7763	352510.7531	69419.57709	400640.0814	342923.8676	192376.4591	305207.8003	184263.3985	226196.7105	350742.0693	97609.92	227321.4617	221631.0193	106577.8014	102663.0959	168434.9627
66	2500468.978	2563837.745	2722892.465	6026579.863	2821537.736	2941293.725	5153974.844	2785789.818	3059220.483	3261654.489	4148472.393	4795715.68	3164021.179	2766751.875	5147189.66	3134483.538	2844022.635	2622216.471
67	157767.5037	79687.48173	158343.5874	57961.05105	753370.4638	3761361.524	3318827.681	1196746.012	693652.6433	1001428.627	594085.9109	1370743.455	1347020.149	599103.287	931284.8264	1345268.928	527945.7354	70426.96927
68	2936475.828	2860300.686	1825474.398	2352552.498	2773121.104	3239111.603	3639036.238	3169902.173	3060392.139	3105838.641	2729398.095	3436890.608	2801012.225	2400374.424	2854633.555	3247054.937	3133222.705	3438707.061
69	932795.6917	882164.8122	963464.939	928929.9914	1083416.241	899145.0253	876496.4397	946649.2034	898327.6883	1160280.497	996506.8572	914547.3247	972433.5196	950718.2544	1358018.327	938682.544	936637.9224	896226.8146
70	2779399.786	1592349.27	543739.9258	1565166.346	470233.103	1285334.313	1384237.318	647902.2682	1473219.19	362267.0185	453440.8987	291823.4215	435397.6453	472383.8554	156766.0331	914006.059	332536.7552	484190.1865
71	1830141.237	1850475.895	1773796.386	1976072.044	1835158.417	2081060.402	2285122.362	1806107.73	1913034.626	1750358.342	1910011.893	1892609.424	1819242.245	1823559.906	1772644.628	1789216.22	1748068.266	1975437.68
72	778491.5688	787112.8255	778078.2698	825802.4672	818149.4968	788083.7598	784655.0912	834516.1059	781483.5995	743494.5335	770604.6002	819496.1634	746550.9356	761289.9667	750317.2997	770563.5529	765682.9606	727969.5344
73	2685712.9	2159962.917	332166.8472	1096501.747	269441.8603	1809341.339	1468496.156	772495.0076	1635640.859	632800.758	877193.6431	1262011.813	438513.0928	470911.2444	142112.657	876799.4133	577190.1339	1480954.667
74	249952.4575	337580.389	76832.82624	168699.2734	116806.1872	148897.8232	110792.3138	160241.41	222426.1381	413029.3301	489295.815	484944.9682	174169.1784	124600.99	340038.1692	267027.4307	65949.01126	28538.48812
75	4554774.447	3844516.922	4543367.818	3197909.362	4706892.51	4722235.627	4563541.842	4529519.912	5154847.954	6541905.545	5576508.898	4719903.991	3960304.846	5220720.541	6477193.488	5178181.139	4980941.893	3923109.182
76	799666.0053	862800.529	843317.4838	881056.3985	874215.8998	930010.3243	987366.6248	858895.1294	971744.3332	997687.0531	891459.2054	939224.4212	843237.5956	815914.483	1013896.639	931879.5531	902775.126	865265.1161
77	7543949.336	2320665.881	366084.3194	557334.8448	474095.2163	2620030.229	3975491.215	675671.2546	926448.5728	376779.662	376949.9165	633449.0835	736064.7333	362569.5663	2710613.853	995777.429	458906.4276	268411.1238
78	40100000	42100000	43700000	43600000	48200000	40800000	40700000	43900000	41800000	41100000	40800000	42600000	48700000	4.3e+07	50800000	40700000	40900000	41200000
79	414604.5864	569616.5546	176274.0379	193010.7875	109382.6024	576979.9689	785534.5916	382186.4306	751033.084	550715.1749	453895.5872	1079512.142	326786.4448	306393.7172	68692.94586	565425.83	371664.6644	736919.242
80	681058.0149	692450.3154	681526.8156	666253.9675	707748.5869	706529.1515	706462.1121	737512.7505	723590.1086	656565.2304	725567.36	501128.7586	689070.0596	721919.7913	705741.1844	704986.712	696367.037	722614.0634
81	10600000	3089491.536	509811.9085	420033.9799	1125979.708	5334459.585	5548156.912	1412035.772	1522024.328	761201.7898	707976.8253	1196079.185	1543194.691	742242.0852	4152342.919	1515924.334	652848.6636	295615
82	2709615.267	2838554.609	2682121.969	2916567.063	2648676.934	2739553.976	2695340.258	2715036.785	2609338.35	2586596.416	2667579.383	2713813.967	2742856.543	2577851.132	2739768.882	2710021.193	2687180.032	2733223.417
83	2178821.104	2164971.102	2127135.553	2351230.787	2310761.931	2373448.885	2344940.452	2212388.567	2500135.94	2254245.254	2405204.605	2265126.36	2180904.724	2186216.635	2373768.375	2430384.782	2310318.767	2287352.405
84	116716.6246	56711.14361	208361.8974	52032.61003	541958.9249	842671.8362	538481.2798	619257.0247	312590.6547	640224.9002	728884.709	563432.2375	891077.9783	598894.3104	256454.7479	493633.6499	498431.9196	320170.1827
85	205436.8715	110285.4085	294413.8203	63347.8879	659614.531	1034389.122	701958.5179	825887.2789	317291.3655	784587.0757	703910.3102	806062.8491	1053052.072	612415.9275	300284.3791	659886.0361	681563.5205	184247.2143
86	5720090.402	5929819.985	4711709.433	5152813.077	4470515.207	4643137.16	4394412.925	5088965.259	5023116.143	4489568.416	4662918.91	4499910.183	4866355.022	4536367.979	4557280.51	4900360.723	4681879.713	4772321.714
87	1148814.705	1186958.188	317587.9536	1279024.94	568509.1001	962524.2144	644472.7672	450582.0397	797601.9339	545916.7647	700461.2014	611568.1351	736898.635	427668.9179	602129.56	799176.9992	709278.2172	851524.6327
88	2527729.045	35972.34985	1780220.413	105283.7622	1449886.13	2204700.448	1566770.057	3554225.067	920994.8766	1148784.199	1096114.948	1960928.175	2622944.741	1831726.122	2099501.199	2519105.436	1325516.919	109229.0731
89	6875864.753	6866619.063	6775655.209	7192626.089	6700704.865	6475355.525	6447126.754	6771098.063	6997806.364	6508338.346	6616691.406	6588506.857	6967143.458	6774653.248	6765972.947	6805484.829	6705935.053	7277097.399
90	1754821.494	1841036.538	836573.0996	1582700.229	456211.4323	1298015.651	1262316.388	620653.2245	1530784.076	382785.0547	362524.6335	529759.4605	888886.1452	877142.8546	1116449.426	538308.7832	659851.7538	1384555.616
91	1529620.57	1756724.571	759110.1206	1855204.61	395201.7623	1221325.436	1209535.074	543200.5711	1784338.033	333106.9158	357714.8465	539854.5062	844070.2255	811076.588	1041064.641	603850.9654	659148.1902	1456026.658
92	494334.3427	543839.2114	549882.8957	517949.3547	675564.8295	555497.3846	553179.6389	627958.3354	652113.504	702877.233	689571.1397	589610.7962	679644.5331	576422.2386	684758.2196	529264.5506	590127.5341	712245.6812
93	807519.9218	805164.146	787180.4775	775035.5362	797368.3967	757800.6934	744147.331	779982.8412	828403.8634	833693.6426	771489.3437	790861.8564	753398.4695	777354.9437	819884.0221	797896.5986	828548.9178	761371.1263
