FeatureID	Taxon	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
cbcfd6279669d3819e9c39e16196432b	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Enterenecus; s__Enterenecus sp004560375	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Oscillospirales	 f__Oscillospiraceae_88309	 g__Enterenecus	 s__Enterenecus sp004560375	0.999719733229981
c0ed23c557f91e06a4dd4891e6cf396c	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Dysosmobacter; s__Dysosmobacter sp000403435	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Oscillospirales	 f__Oscillospiraceae_88309	 g__Dysosmobacter	 s__Dysosmobacter sp000403435	0.993694528088259
8bbc92e9c53f0b9f1ea8ff76b16f132f	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__COE1; s__	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	 g__COE1	 s__	0.766957195836192
7c57afe3b6b21af9d22cea9e92af463b	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	d__Bacteria	 p__Firmicutes_D	 c__Bacilli	 o__Lactobacillales	 f__Lactobacillaceae	 g__Lactobacillus	NA	0.999999934541707
95407e393b861f386c0afe485c8ea7b2	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Kineothrix; s__Kineothrix sp000403275	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	 g__Kineothrix	 s__Kineothrix sp000403275	0.88553539292184
d1c1529acbbd977e6219701a664424f0	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Sporofaciens; s__	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	 g__Sporofaciens	 s__	0.995609771696324
1a8f4d78785f78a1ac4e95b79749e6ca	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Anaerotignaceae; g__Anaerotignum_189125; s__Anaerotignum lactatifermentans	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Anaerotignaceae	 g__Anaerotignum_189125	 s__Anaerotignum lactatifermentans	0.997465106283867
511389b5c9fc8da62e40d5a26d25899a	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	NA	NA	NA	0.999261767591722
f93d4475e6e833f785632216000980b0	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	NA	NA	0.999939462575867
cc925f743eceb951ff4885ab338c2616	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Dysosmobacter	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Oscillospirales	 f__Oscillospiraceae_88309	 g__Dysosmobacter	NA	0.975161914191332
13e68d6b48a2b9f13b340e5fe0445c95	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Anaerovoracaceae; g__Emergencia; s__Emergencia sp009935805	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Peptostreptococcales	 f__Anaerovoracaceae	 g__Emergencia	 s__Emergencia sp009935805	0.999328983668001
636c27859c1ac0a7994ca8ed145d03fe	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus_A_346120	d__Bacteria	 p__Firmicutes_D	 c__Bacilli	 o__Lactobacillales	 f__Streptococcaceae	 g__Lactococcus_A_346120	NA	0.959669712176488
69489dc1b80bc7d777214b41cc953b31	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Oscillospirales	 f__Ruminococcaceae	NA	NA	0.999171422132414
a7810d3069cbf6d0c54db6b9b67b1154	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Oscillospirales	 f__Acutalibacteraceae	NA	NA	0.999901780104098
cf7f7463ab3cfdd7d0a4046d06f37dc8	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Clostridium_Q_134526; s__Clostridium_Q_134526 sp009911305	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	 g__Clostridium_Q_134526	 s__Clostridium_Q_134526 sp009911305	0.960156946213577
2e04c980752c8fc37c462e08582777d3	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	NA	NA	0.999998220376956
d0b9517a6f26f847e3bf839cad5d1633	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__UBA11471; g__UBA11471; s__UBA11471 sp000434215	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__UBA11471	 g__UBA11471	 s__UBA11471 sp000434215	0.84336553628688
aa446aad4f8d5f5ebf6a7ff36792767e	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__; s__	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Oscillospirales	 f__Oscillospiraceae_88309	 g__	 s__	0.971641892124231
f317a8a60481a769ff9c36a33fc7c88f	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Ventrisoma; s__Ventrisoma faecale	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	 g__Ventrisoma	 s__Ventrisoma faecale	0.968706553443757
7962fd1e48eb3ee4290fa19840f3c1c5	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	NA	NA	0.962393993964109
a5f692a68aa228639973f221671990d5	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__14-2; s__	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	 g__14-2	 s__	0.999891079196439
2653918cc84c1fedbd74dfb0b90fc102	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	NA	NA	0.999909447635169
7fee9350277038eef98dee70b4190563	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Peptostreptococcales	 f__Peptostreptococcaceae_256921	NA	NA	0.999999957456868
b1b9ecda6246c693499359589027d8d0	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Angelakisella; s__Angelakisella massiliensis	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Oscillospirales	 f__Ruminococcaceae	 g__Angelakisella	 s__Angelakisella massiliensis	0.722249808720092
af4fd07a19035add3a54f4fd0cc11352	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes_A_871400; s__	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Rikenellaceae	 g__Alistipes_A_871400	 s__	0.999825187280304
864fb808c26f29d79c123613d0d15fab	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	NA	NA	0.999940437649226
de2b74b8890d40f4462c2a39ba26c418	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_595427; f__Burkholderiaceae_A_595427; g__Parasutterella	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales_595427	 f__Burkholderiaceae_A_595427	 g__Parasutterella	NA	0.999999071615567
0d772f1907bd13a11e8970f74e6a0696	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__1XD42-69; s__1XD42-69 sp009911505	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	 g__1XD42-69	 s__1XD42-69 sp009911505	0.999999990159878
520146f24409cd6ca7d957109aba38d5	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Catenibacillus; s__Catenibacillus scindens	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	 g__Catenibacillus	 s__Catenibacillus scindens	0.713176151182509
c46fb709d49143a3f9b42ed3d3ec3a24	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Merdisoma; s__Merdisoma sp011959465	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	 g__Merdisoma	 s__Merdisoma sp011959465	0.967482926279649
65bc2b52d9d09bde0d63aadfcffa450f	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	NA	NA	0.999993797479654
3da811fabbdd7c3088c29e4731f2bd32	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Oscillospirales	 f__Oscillospiraceae_88309	NA	NA	0.99843350155769
f26ce6e77a0fc4c259b20aa7415d2192	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Lawsonibacter; s__	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Oscillospirales	 f__Oscillospiraceae_88309	 g__Lawsonibacter	 s__	0.874204820787147
408c0a84e49504a68ac665f21a2c0149	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__CAG-56; s__CAG-56 sp004793585	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	 g__CAG-56	 s__CAG-56 sp004793585	0.999762473033209
22dcb100d9f9dcdf1997952348384057	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Paludicola; s__Paludicola psychrotolerans	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Oscillospirales	 f__Ruminococcaceae	 g__Paludicola	 s__Paludicola psychrotolerans	0.94619207847788
d739069ee9a398db73b131975e6c77f7	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Kineothrix; s__Kineothrix sp000403275	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	 g__Kineothrix	 s__Kineothrix sp000403275	0.900592155025256
21b8486e169a9d5161d8ec072aeb59b9	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Anaerotruncus; s__Anaerotruncus sp000403395	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Oscillospirales	 f__Ruminococcaceae	 g__Anaerotruncus	 s__Anaerotruncus sp000403395	0.999999972026175
b285fb4cfa7ec32bd30563d06b8ad433	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Butyricicoccaceae; g__Pseudobutyricicoccus; s__Pseudobutyricicoccus sp003477405	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Oscillospirales	 f__Butyricicoccaceae	 g__Pseudobutyricicoccus	 s__Pseudobutyricicoccus sp003477405	0.7629326169977
dbb91f355676d9cb4e3d22fa69ad6292	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Sporofaciens; s__	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	 g__Sporofaciens	 s__	0.911652492067346
fbc186af4b350b9dca3fb521f8efe40f	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__CAG-485; s__CAG-485 sp002362485	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Muribaculaceae	 g__CAG-485	 s__CAG-485 sp002362485	0.999819782997651
12acee2733a9b1812345a148d7a0419f	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Enterenecus; s__Enterenecus sp004560375	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Oscillospirales	 f__Oscillospiraceae_88309	 g__Enterenecus	 s__Enterenecus sp004560375	0.999385835826292
660d1dabf777bcce310915d1ff4e27b4	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__CAG-56; s__CAG-56 sp004793585	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	 g__CAG-56	 s__CAG-56 sp004793585	0.999966426566684
7d0b7091d8fdb78fcfc3b0a0ea1c4ccf	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	NA	NA	0.999057444135405
eb4104bfe7ff965e7288b9e381317aa8	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	NA	NA	0.999727055188326
539a09fd38d77c88a4106bfb58700d62	d__Bacteria; p__Firmicutes_B_370539; c__Dehalobacteriia; o__Dehalobacteriales; f__Dehalobacteriaceae; g__; s__	d__Bacteria	 p__Firmicutes_B_370539	 c__Dehalobacteriia	 o__Dehalobacteriales	 f__Dehalobacteriaceae	 g__	 s__	0.999999866024959
d6e558b2e5e35778926bd1988b0d8170	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Anaerotignaceae; g__Coprocola; s__	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Anaerotignaceae	 g__Coprocola	 s__	0.99990472256591
7f782768e8d3067af0a923af092239d3	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	NA	NA	0.998600752552943
f4eefbd4edf2a372131825289fffcca6	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Oscillospirales	 f__Oscillospiraceae_88309	NA	NA	0.999957632275499
71d094b7079dfef6a8ba5fe9a1f27226	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__COE1; s__COE1 sp000403215	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	 g__COE1	 s__COE1 sp000403215	0.999924028473685
fb52df71394a54d567c86d70ed2514f9	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	NA	NA	0.999996998374506
26cf312e6020a5a9f142aa9c23f54a94	d__Bacteria; p__Firmicutes_A	d__Bacteria	 p__Firmicutes_A	NA	NA	NA	NA	NA	0.732188617502211
4871043dc895f84c21e672afb0b9caca	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Kineothrix; s__Kineothrix sp000403275	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	 g__Kineothrix	 s__Kineothrix sp000403275	0.967103876973218
03822cb1cb5fa953c2d32618113177bf	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__RF39; f__UBA660; g__; s__	d__Bacteria	 p__Firmicutes_D	 c__Bacilli	 o__RF39	 f__UBA660	 g__	 s__	0.999850484210385
48dfa84a440fd301d589cdffe60e057a	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__MD308; s__	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Lachnospirales	 f__Lachnospiraceae	 g__MD308	 s__	0.789078936833019
a538fda256b4cae4a5ade4882f8d6e38	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Duncaniella; s__Duncaniella muris	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Muribaculaceae	 g__Duncaniella	 s__Duncaniella muris	0.937213144139467
74f1968b8430f123493c159111e08538	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Limivicinus; s__Limivicinus sp002320035	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Oscillospirales	 f__Oscillospiraceae_88309	 g__Limivicinus	 s__Limivicinus sp002320035	0.886514080336048
