FeatureID	13L.N1	13N.N1	14L.N1	14L.N13	14R.N1	15L.N1	15L.N13	16R.N1	16R.N13	17N.N1	17N.N13	17R.N1	18L.N1	18L.N13	18R.N13	19R.N1	20N.N1	20N.N13
0846374b81d0d3b3e8a8864b903c65cd	46	131	53	0	14	9	5	55	3	3	2	2	2	0	0	33	0	5
bb89ff76bf935d0c7ee37fd4ef9d50e5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
704094b22aaa1350d06750f2d8f0d199	0	0	0	0	0	0	0	127	33	0	0	0	0	0	0	10	0	0
ec732ad6f4d2f80391c0652775c07ef0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	12	0	0
dcbd73521bb9437d17331fad879fdf17	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
8ae9a7813f72789262e9bcada40dabb2	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0
a513ee539eecb4b239be5dfaa3b8b3c4	12	20	5	0	2	34	7	17	7	11	0	2	5	0	0	7	37	6
4edec652aa6fdcf0eecdc7b3fc35abd4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6914456cb3115ba1d4aa9fdf8f5dd7ec	525	234	243	264	653	226	1306	489	142	676	520	109	43	41	141	687	279	174
726fe9527294f50f4d2654b3a25730a9	33	20	11	0	8	26	2	26	4	152	5	0	11	4	3	3	16	4
c9a9e220b2b8de9c076c7dc988ce119f	2	0	5	0	4	0	2	3	0	0	0	0	0	0	2	2	3	0
4a1484e60a200f17a7dade4c4c10ba40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a6c1d5c393eaa8b78baddc67c010b5fe	5	13	26	5	30	17	2	89	49	8	3	0	5	2	2	281	83	82
8561ec00bc1bce26b5c041473036dc11	0	0	0	0	0	0	0	0	0	8	2	12	0	0	0	0	0	0
95407e393b861f386c0afe485c8ea7b2	154	181	114	10	220	42	22	289	53	0	0	0	4	2	0	243	0	1
7f782768e8d3067af0a923af092239d3	135	36	0	0	0	2	8	0	0	119	47	8	53	12	7	19	33	18
722eb814980fd337d59d67d16f32b6af	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cf7f7463ab3cfdd7d0a4046d06f37dc8	492	127	135	79	136	196	69	174	30	422	65	70	106	49	61	116	174	94
4a28ead7bb5b4396ad6be2eee44ac310	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1155e5ff3910649a94e2326addf65942	0	0	0	0	0	14	0	8	2	127	15	4	22	4	121	0	20	22
ab22e08cc276e3eb6530e2d9ec630488	0	0	9	0	0	2	0	10	0	3	0	2	0	0	0	0	2	0
21b8486e169a9d5161d8ec072aeb59b9	243	212	40	6	32	57	34	26	0	453	126	7	36	6	24	82	41	47
d2859d175cbce4cbb01335e155616613	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
42fed1ec74aafd590e2d3c0433498e60	11	47	33	2	37	5	5	5	4	0	0	0	3	0	0	47	0	0
0961bcd6971db7e276fc802130be00e3	8	0	0	0	8	0	0	0	0	0	0	0	0	2	20	0	10	11
ce853530a47df67f5b724cb0fe2891b2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
e21a4b4c13d385249059c184fa14fe77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
04413eac1a09d22731c8595296390012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	31
6964ecf170c3769f79fd1691bb1e7445	0	0	0	0	0	0	0	0	2	0	2	5	6	2	2	0	4	9
06c103138502cdd9b9feba706d24cbd3	0	0	11	0	0	3	3	0	0	0	0	0	0	0	0	0	3	0
e7f52adbbed6a9d8e92f71183d087d3c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	63
866b299de76305f77c0994d290b00fd9	12	21	7	0	9	7	0	8	2	17	0	0	0	0	0	3	10	2
a5a51ff688c72397df453c6202677716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ffd1e03c534ee37237f4a150ff4e8a74	0	1	9	0	2	43	2	17	8	189	10	23	7	0	6	22	65	1
97b013ed2bb3babc6b320db19b26653b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4a82bd055accf9b920d5236c896db635	0	0	7	0	3	0	0	2	3	0	1	14	0	0	0	0	0	0
ecd5fa7940d4be8ae1bf842d866ccee6	0	0	0	0	1	43	3	9	11	56	2	15	0	0	0	0	0	0
e12aa069e7978c59df40a9772bdf95e1	7	3	5	0	5	0	3	3	0	0	0	0	0	0	0	3	15	4
15b42a79ac1ac2729a53f4d71fec0e25	0	0	10	0	2	2	0	2	0	18	0	0	0	0	0	0	3	3
762104032142c45f4099d7d8136beb7b	0	4	0	0	0	43	2	47	6	41	0	16	2	0	0	21	36	1
f5414775dbb62c2ca34068aa87d4da79	342	411	253	22	140	13	38	269	82	0	6	0	2	0	8	120	0	0
0bc4a7dd51dc09d0fad32ee694f3da67	6	7	13	0	6	7	0	7	0	4	0	3	0	0	0	0	0	0
0d772f1907bd13a11e8970f74e6a0696	43	124	10	0	11	109	38	57	32	228	9	3	3	0	0	0	26	116
d29fe3c70564fc0f69f2c03e0d1e5561	3	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ec0d9410c96cd5c374221cda821359fa	0	0	0	1	1	0	0	0	0	0	0	0	0	0	9	0	0	51
d6e558b2e5e35778926bd1988b0d8170	8	16	0	7	0	11	12	0	0	5	0	0	0	0	0	0	0	0
187f16f0537b9e9394d9627bd2c4122a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
359e73d48c4baa972dd48e2055cef261	0	0	4	0	52	0	0	3	0	25	4	2	0	0	0	0	7	11
7879b0a4cf6cc150ae4bb79e4280b160	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
d88779e31be1f396751ddf939ddf6411	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
a0ba37b76dd3e1f038dc12477a8ba92f	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
4a87a908f766fffca0ec166d921728a7	153	72	464	2213	309	574	868	614	2073	13	28	661	759	1808	2	0	57	159
666e2ee0d320b0e49078ed8a907ae558	0	0	0	0	0	0	0	0	0	0	3	0	2	2	0	2	0	2
8377226d76d7f5a7c9236dcb849c8112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e4b17cd558b8590655cb6236bf15ac2a	0	0	0	0	0	0	1	0	0	0	3	0	13	0	0	0	0	0
85ec9893e5368282babd9d534e60000a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42510fba05dfdca4d4abce03bed0ebb9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
7a20f7055ca2c7462cfa6a7aef16ec28	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0
