Feature	Intercept_mean	C(NASH_category, Treatment('Non_NASH'))[T.NA]_mean	C(NASH_category, Treatment('Non_NASH'))[T.NASH]_mean	Intercept_std	C(NASH_category, Treatment('Non_NASH'))[T.NA]_std	C(NASH_category, Treatment('Non_NASH'))[T.NASH]_std	Intercept_hdi	C(NASH_category, Treatment('Non_NASH'))[T.NA]_hdi	C(NASH_category, Treatment('Non_NASH'))[T.NASH]_hdi
4432	-12.81229463000001	-0.9081110059575027	-1.0511342572800002	3.6068623134857876	3.6338608507910926	3.766068845176908	(-19.0659, -5.81701)	(-8.19494, 5.48708)	(-8.42364, 5.84886)
3690	-11.985225649999993	-0.9202051888954997	0.29681614239594956	0.4506017475743713	0.53854943639045	0.5552471686700499	(-12.7897, -11.1213)	(-1.93809, 0.0410888)	(-0.745201, 1.31318)
2176	-10.817216086899979	-0.20998954946499987	-0.62025707323	4.27562216403343	4.1585148259648665	4.149265257078493	(-18.2788, -2.45766)	(-7.79175, 8.02448)	(-8.29237, 6.73475)
3483	-9.132861219999999	-0.7844308432699996	-0.20293563766464973	0.2210387735434928	0.2737587549405286	0.27559679534819254	(-9.5531, -8.72322)	(-1.29952, -0.243053)	(-0.66422, 0.35121)
1632	-8.821337829999989	0.81962423498	0.679437765790001	0.2992030584465858	0.3662834241759553	0.37683887683134076	(-9.34824, -8.23949)	(0.117213, 1.49703)	(-0.0704866, 1.36377)
2942	-9.590269210000008	0.9567461545950009	0.4794152691579997	0.33003283132224265	0.39338116227909786	0.4054097038663859	(-10.1681, -8.98296)	(0.219977, 1.70352)	(-0.30624, 1.23705)
361	-9.202596084999994	0.9014454530950009	0.09456087487699999	0.22006044978328737	0.2729953993195833	0.27834141007811947	(-9.61828, -8.79483)	(0.391579, 1.42368)	(-0.491729, 0.580959)
2091	-11.170903351900016	-0.4766605558699994	-1.6185283530949996	4.406776745116522	4.5174263092397196	4.8648221150140625	(-18.9554, -3.21575)	(-9.0326, 7.93524)	(-10.2012, 8.19108)
3608	-15.40359286499998	-0.08246395381350011	-1.1949254338888502	2.1419836105049783	2.277479553803119	2.41066380531325	(-18.9346, -11.5566)	(-4.64244, 3.9279)	(-5.63153, 3.11464)
1493	-12.696143129999967	-1.2386815430300004	-0.4896262522750005	2.4735880362958005	3.037429703929031	3.0041027466821006	(-16.4459, -7.62961)	(-6.79374, 4.98293)	(-6.59481, 4.91629)
4418	-12.755587799999972	-2.545077160499998	0.16547086166450004	0.41023520724233276	0.4901213920535605	0.5242914834018998	(-13.5039, -11.9626)	(-3.476, -1.66297)	(-0.844584, 1.12155)
2314	-10.63150300725	-2.746813925575005	1.4635647764950002	4.480341699255822	5.066740862998223	4.175376124677839	(-18.7283, -2.04348)	(-11.8913, 6.6865)	(-6.23507, 9.36434)
2369	-11.827092933100015	-2.5046893084099993	-2.130891682010001	4.434280402991808	5.346714270959609	5.091064812381609	(-18.729, -3.72668)	(-13.5308, 6.35547)	(-11.5691, 7.13857)
1618	-9.086361315000028	-7.204827439999989	0.5318685643350002	0.8468045015797457	1.0503835881103845	1.0279699473339305	(-10.6395, -7.59426)	(-9.15432, -5.14732)	(-1.21387, 2.63788)
2968	-14.627189650000004	0.06181171255399993	0.20945700145299992	0.3422760273783097	0.41775518262513966	0.42215325212442906	(-15.19, -13.9249)	(-0.699201, 0.911239)	(-0.604345, 0.962447)
375	-5.807661650000003	-0.6297976923020001	-0.06094831111329986	0.17436691299090393	0.21218863201192417	0.2130588729693246	(-6.10405, -5.45939)	(-1.03385, -0.219011)	(-0.451699, 0.335845)
3622	-14.178701750000002	1.2990629971499974	0.5546147555054998	0.39357464862709013	0.47877044369273664	0.48284305268365557	(-14.8548, -13.415)	(0.40926, 2.1956)	(-0.334708, 1.52591)
3564	-10.19929066999999	-2.4040305401650044	-0.13272139598000002	1.0762224947614474	1.3345551491913947	1.3448183347255522	(-11.9828, -8.06343)	(-5.08912, 0.0406518)	(-2.8025, 2.30465)
1716	-9.597232589999985	-1.2413596960399986	0.16264769774960006	0.3860294812881418	0.47386853127971973	0.49435474135055163	(-10.3083, -8.85744)	(-2.13511, -0.362659)	(-0.728457, 1.09316)
847	-9.428234689999988	-1.9008087388500003	-0.605801416274102	0.4057947805392572	0.4901131870780372	0.5078730689525133	(-10.1341, -8.67441)	(-2.90474, -1.06655)	(-1.49678, 0.37466)
3519	-13.514065050000013	0.227442794879	0.40585310710999994	0.26776130919813157	0.315147852294178	0.3302948118279875	(-14.0275, -13.0387)	(-0.390319, 0.78868)	(-0.222036, 1.02289)
2866	-10.797792501079993	-1.621394624969994	0.3049443980650001	4.629955101501437	4.992184524292825	4.237053355373148	(-19.4933, -2.23126)	(-10.8725, 7.63279)	(-7.94414, 7.81689)
2981	-11.620927715000002	-0.34825524515099987	0.0700294228576	0.4893934566584729	0.5797976275716102	0.6168858855100539	(-12.516, -10.6897)	(-1.38447, 0.778562)	(-1.08254, 1.25116)
2052	-10.570134105000019	0.1300113783830001	0.4488489729035994	0.355657565390783	0.42866807759266573	0.45621305689138625	(-11.1968, -9.91174)	(-0.67487, 0.93649)	(-0.36649, 1.29039)
3706	-11.877150525000003	1.397323084687999	0.29968832736100015	0.6299552127757776	0.7351183710107982	0.7736294501628689	(-13.088, -10.7363)	(-0.0155472, 2.7418)	(-1.14853, 1.76035)
853	-8.698051905000002	-3.122854145000001	0.0934678911530001	0.36009032911912636	0.4488242827213883	0.44091493091404543	(-9.30534, -7.99526)	(-3.98046, -2.2958)	(-0.755562, 0.868023)
1509	-9.855311510000021	-0.8485082941974998	-0.022444186265850003	0.27896386740440055	0.3443747166605163	0.35198811497455745	(-10.3786, -9.35394)	(-1.49329, -0.180327)	(-0.663063, 0.634808)
280	-9.004588239999999	-0.366083959393	0.9893873994649982	0.47282499667266153	0.5739508771928017	0.596445176007874	(-9.79538, -7.97824)	(-1.48591, 0.664138)	(-0.0896458, 2.17145)
