Name	FeatureID	mz	RT	Compound_Name.x	LibraryQualityString	SharedPeaks	LibraryName	MQScore	MassDiff	MZErrorPPM	Adduct	IonMode	mtb_group	ratio	min	max	cred	cat	collection_time	disease_stage
3853 m/z 471.779267 unknown	3853	471.779267	2.120723674	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.468535100719	-8.34563	4.69453	not_credible	Non_NASH	ZT1	Wk 4
3884 m/z 626.7995086 unknown	3884	626.7995086	2.00100383	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.442081337745	-12.3805	6.04506	not_credible	Non_NASH	ZT1	Wk 4
3305 m/z 697.5226083 unknown	3305	697.5226083	8.545637673	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.43504375295	-11.6743	7.27836	not_credible	Non_NASH	ZT1	Wk 4
2869 m/z 883.4126432 unknown	2869	883.4126432	4.378702273	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.424422265175	-12.3236	6.35363	not_credible	Non_NASH	ZT1	Wk 4
2826 m/z 482.399203 bile acids	2826	482.399203	8.568041374	NA	NA	NA	NA	NA	NA	NA	NA	NA	bile acids	-2.4081044625	-11.962	6.70785	not_credible	Non_NASH	ZT1	Wk 4
3487 m/z 341.9732762 unknown	3487	341.9732762	1.781656559	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.405336469445	-7.12333	2.8006	not_credible	Non_NASH	ZT1	Wk 4
4030 m/z 362.2178511 unknown	4030	362.2178511	0.877857892	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.398901453195	-12.0268	6.6805	not_credible	Non_NASH	ZT1	Wk 4
1089 Suspect related to Massbank:PR311024 Diferuloyl putrescine  amines	1089	443.2175056	3.8415767	Suspect related to Massbank:PR311024 Diferuloyl putrescine 	Insilico	10	lib-00053.mgf	0.940295	0.000488281	1.10167	[M+H]+	Positive	amines	-2.396926431735	-11.854	7.88791	not_credible	Non_NASH	ZT1	Wk 4
806 Suspect related to Massbank:PR310848 Hexosyl LPE 16:0  unknown	806	602.3306171	6.873774785	Suspect related to Massbank:PR310848 Hexosyl LPE 16:0 	Insilico	14	lib-00053.mgf	0.871122	0.00634766	10.5384	[M+H]+	Positive	unknown	-2.37788702770001	-4.21976	-0.518202	credible	Non_NASH	ZT1	Wk 4
3473 m/z 242.0117974 unknown	3473	242.0117974	1.83018874	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.3648673534835	-8.58375	3.96425	not_credible	Non_NASH	ZT1	Wk 4
2865 m/z 782.395607 unknown	2865	782.395607	6.134335289	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.35183611954	-12.0385	5.93114	not_credible	Non_NASH	ZT1	Wk 4
3299 m/z 551.772929 unknown	3299	551.772929	2.064396461	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.336433167955	-6.49005	2.52818	not_credible	Non_NASH	ZT1	Wk 4
1612 m/z 354.1579771 unknown	1612	354.1579771	1.977550825	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.3340819452	-4.4905	0.0944125	not_credible	Non_NASH	ZT1	Wk 4
2768 m/z 316.1546567 unknown	2768	316.1546567	1.550525557	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.31841420767	-12.1602	6.5738	not_credible	Non_NASH	ZT1	Wk 4
1397 m/z 310.0204129 unknown	1397	310.0204129	3.244759353	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.31572527754	-11.7624	6.87813	not_credible	Non_NASH	ZT1	Wk 4
3549 m/z 539.1959645 unknown	3549	539.1959645	2.999418885	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.31433144194501	-11.2696	6.9251	not_credible	Non_NASH	ZT1	Wk 4
3643 m/z 645.3244823 unknown	3643	645.3244823	6.882988135	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.26402262384499	-12.109	6.6643	not_credible	Non_NASH	ZT1	Wk 4
3194 m/z 249.1099664 unknown	3194	249.1099664	2.095389375	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.260022738288	-12.4764	6.83112	not_credible	Non_NASH	ZT1	Wk 4
2207 Candidate Trihydroxylated bile acid (delta mass 296.045; buddy atomic difference: 16C, 4H, 6N, 1O) bile acids	2207	705.3422795	5.46316885	Candidate Trihydroxylated bile acid (delta mass 296.045; buddy atomic difference: 16C, 4H, 6N, 1O)	Insilico	14	lib-00052.mgf	0.875996	0.00238037	3.37479	M+H	Positive	bile acids	-2.25624382139	-11.4139	6.92194	not_credible	Non_NASH	ZT1	Wk 4
4236 Candidate Dihydroxylated bile acid (delta mass 186.9623; ; spectral library match to CCMSLIB00005465318, 2-((4R)-4-((3R,5R,9S,10S,12S,13R,14S,17R)-12-hydroxy-10,13-dimethyl-3-(sulfooxy)hexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid) bile acids	4236	580.2607973	6.531834407	Candidate Dihydroxylated bile acid (delta mass 186.9623; ; spectral library match to CCMSLIB00005465318, 2-((4R)-4-((3R,5R,9S,10S,12S,13R,14S,17R)-12-hydroxy-10,13-dimethyl-3-(sulfooxy)hexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid)	Insilico	17	lib-00052.mgf	0.862582	0.00140381	2.41927	M+H	Positive	bile acids	-2.251668409525	-12.725	7.08538	not_credible	Non_NASH	ZT1	Wk 4
1656 m/z 436.1638246 unknown	1656	436.1638246	2.235220502	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.24337651065001	-4.39652	-0.211521	credible	Non_NASH	ZT1	Wk 4
1108 m/z 463.1838584 unknown	1108	463.1838584	4.110214029	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.228901083436	-7.93813	2.55592	not_credible	Non_NASH	ZT1	Wk 4
868 m/z 438.1795446 unknown	868	438.1795446	2.404159214	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.22358368815	-4.40696	-0.0258279	credible	Non_NASH	ZT1	Wk 4
3216 m/z 712.8486501 unknown	3216	712.8486501	2.836011585	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.222060852735	-8.59087	4.16301	not_credible	Non_NASH	ZT1	Wk 4
3148 m/z 202.0896592 unknown	3148	202.0896592	4.191699997	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.221749646385	-11.5903	7.22446	not_credible	Non_NASH	ZT1	Wk 4
3477 m/z 269.1495768 unknown	3477	269.1495768	1.52581086	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.15891173065	-4.36123	0.140908	not_credible	Non_NASH	ZT1	Wk 4
3849 m/z 450.2454333 unknown	3849	450.2454333	1.99791251	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.129784409365	-4.8761	1.03033	not_credible	Non_NASH	ZT1	Wk 4
1424 m/z 401.1146305 unknown	1424	401.1146305	1.472159514	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.127424117755	-7.86137	4.69807	not_credible	Non_NASH	ZT1	Wk 4
3887 m/z 630.3537183 unknown	3887	630.3537183	4.401545052	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.099144143365	-6.1378	1.78355	not_credible	Non_NASH	ZT1	Wk 4
3865 m/z 525.2848098 unknown	3865	525.2848098	3.722175965	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.0969337404	-4.49932	-0.0316525	credible	Non_NASH	ZT1	Wk 4
1057 m/z 415.2227605 unknown	1057	415.2227605	3.428108039	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.09454317222785	-11.9374	7.11829	not_credible	Non_NASH	ZT1	Wk 4
1241 Suspect related to Massbank:PR304328 Soyasaponin Ba  unknown	1241	923.4999033	6.581533404	Suspect related to Massbank:PR304328 Soyasaponin Ba 	Insilico	21	lib-00053.mgf	0.936183	0.00213623	2.31318	[M+H]+	Positive	unknown	-2.079264254039	-7.42351	5.11904	not_credible	Non_NASH	ZT1	Wk 4
3871 m/z 548.7491372 unknown	3871	548.7491372	2.268215653	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.0693006093285	-6.00663	1.96446	not_credible	Non_NASH	ZT1	Wk 4
3893 m/z 657.3696576 unknown	3893	657.3696576	3.070049818	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.068810384087	-6.47002	3.009	not_credible	Non_NASH	ZT1	Wk 4
2353 m/z 251.1256443 unknown	2353	251.1256443	2.608352011	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.04557279993	-11.9533	7.0246	not_credible	Non_NASH	ZT1	Wk 4
2860 m/z 685.8335678 unknown	2860	685.8335678	4.355421604	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.02901411795	-11.4876	7.08556	not_credible	Non_NASH	ZT1	Wk 4
2382 m/z 365.0846481 unknown	2382	365.0846481	1.730363943	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.02530640896151	-7.70139	3.12071	not_credible	Non_NASH	ZT1	Wk 4
1752 m/z 407.2028604 unknown	1752	407.2028604	0.524281677	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.01867392038	-4.88287	0.498663	not_credible	Non_NASH	ZT1	Wk 4
3896 m/z 675.3562985 unknown	3896	675.3562985	2.75895483	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.01587910131	-6.6407	2.98009	not_credible	Non_NASH	ZT1	Wk 4
3997 m/z 335.1943521 unknown	3997	335.1943521	5.031697499	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.01298325547	-7.54841	4.19591	not_credible	Non_NASH	ZT1	Wk 4
2819 m/z 466.328138 unknown	2819	466.328138	5.180499326	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.9786594147805	-5.07645	1.39694	not_credible	Non_NASH	ZT1	Wk 4
1520 m/z 196.0605836 unknown	1520	196.0605836	0.74318245	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.977466570325	-4.39119	0.280986	not_credible	Non_NASH	ZT1	Wk 4
3870 m/z 546.2925867 unknown	3870	546.2925867	2.601502333	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.96988421355	-3.36191	-0.537974	credible	Non_NASH	ZT1	Wk 4
1627 m/z 371.1686356 unknown	1627	371.1686356	2.851360348	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.95620648308485	-4.09668	0.311337	not_credible	Non_NASH	ZT1	Wk 4
3293 m/z 502.3531103 bile acids	3293	502.3531103	4.543011929	NA	NA	NA	NA	NA	NA	NA	NA	NA	bile acids	-1.954473038865	-12.3857	7.24284	not_credible	Non_NASH	ZT1	Wk 4
4454 m/z 485.2738384 unknown	4454	485.2738384	3.303061658	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.954363933436	-4.26979	0.444398	not_credible	Non_NASH	ZT1	Wk 4
3702 m/z 543.2603225 unknown	3702	543.2603225	1.975970447	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.95031292983	-4.59709	0.529747	not_credible	Non_NASH	ZT1	Wk 4
1207 m/z 636.267583 unknown	1207	636.267583	4.656936428	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.93402239192	-7.57004	4.19851	not_credible	Non_NASH	ZT1	Wk 4
853 m/z 379.2080198 unknown	853	379.2080198	0.551163599	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.9326933798255	-3.90535	-0.185723	credible	Non_NASH	ZT1	Wk 4
3874 m/z 557.3067592 unknown	3874	557.3067592	2.426650115	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.927543830785	-4.87692	0.443052	not_credible	Non_NASH	ZT1	Wk 4
