FeatureID	mz	RT	mtb_group
225	386.2535728	3.992744742	unknown
226	387.1584831	3.473182909	bilirubins
227	388.2544303	2.274383893	glycols
228	389.2688116	6.657673237	fatty acids & other lipids
229	389.3049963	9.409414364	carnitines
230	390.1580677	3.272175741	unknown
231	390.2385173	4.049474128	amines
232	390.297972	8.247230934	unknown
233	391.2845568	6.514595513	bile acids
234	391.3417958	9.274965187	unknown
235	392.3160408	5.694637084	bile acids
236	393.1521028	2.236190653	unknown
237	393.2236663	2.603683218	unknown
238	393.2862586	6.355008994	unknown
239	393.3088465	6.697427461	unknown
240	394.3529734	8.877476173	glycols
241	395.1808323	5.325433807	unknown
242	396.3322425	7.660527576	glycols
243	397.2119778	5.1451796	unknown
244	397.2120724	5.144977019	unknown
245	397.2205231	4.445031455	unknown
246	399.227797	5.298690456	bilirubins
247	399.2508506	7.951520209	unknown
248	399.3584152	7.534428281	unknown
249	400.3420101	8.028480212	carnitines
250	401.3378062	6.91161119	unknown
251	401.3415825	9.480807701	unknown
252	402.2312276	6.239199556	bile acids
253	405.1685644	5.612214035	unknown
254	405.1685668	5.586604861	unknown
255	406.2953231	6.652322264	fatty acids & other lipids
256	406.3292132	9.823707219	unknown
257	407.2793918	4.785872514	unknown
258	408.3110014	4.906624131	bile acids
259	408.3684681	9.275584407	glycols
260	410.2208513	4.48932229	fatty acids & other lipids
261	410.3264545	6.996854228	bile acids
262	410.3482695	8.106689285	glycols
263	411.250687	6.654480042	unknown
264	412.2363868	4.224780382	unknown
265	412.3059216	5.286675979	bile acids
266	413.2250712	8.422866915	unknown
267	413.266469	6.511916381	unknown
268	413.3051895	5.69086888	unknown
269	414.2848605	3.991442213	unknown
270	414.321491	8.361283041	unknown
271	415.133989	2.248817743	unknown
272	415.211622	6.728520752	unknown
273	415.2818031	6.996647229	unknown
274	415.3208422	5.921790496	bile acids
275	417.2962311	7.389639307	unknown
276	417.3364821	8.68933758	carnitines
277	417.3364602	5.08007722	bile acids
278	419.2430132	8.111156021	unknown
279	421.2327171	7.951166279	unknown
280	421.3176382	6.354998575	unknown
281	422.326607	5.272583312	unknown
282	423.2743287	5.724878502	unknown
283	424.3057616	4.772962981	bile acids
284	424.3635587	8.427650285	glycols
285	425.2146116	8.774768836	unknown
286	426.3214476	4.908186634	bile acids
287	426.3217698	5.500407948	bile acids
288	426.3579275	8.186273653	carnitines
289	427.2668956	4.938805075	unknown
290	427.3571941	9.529362276	unknown
291	427.389576	8.258225763	unknown
292	428.2103178	4.622282272	carnitines
293	428.3735754	8.698014442	carnitines
294	429.2613251	4.759159758	unknown
295	429.3189086	8.247370389	unknown
296	430.1896253	3.153909125	unknown
297	431.2771629	5.189020906	unknown
298	431.2772306	5.443281784	unknown
299	431.3119718	7.695961224	unknown
300	431.3158051	5.105399407	bile acids
301	431.3521658	8.997150621	carnitines
302	432.205038	4.285880392	unknown
