CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1722	1792	7	0.9196	17.026
227	4124	7	0.9385	-44.026
1925	3454	7	0.8267	-457.289
92	740	7	0.8374	-45.058
482	4233	7	0.9539	44.026
449	4233	7	0.9757	0.000
1906	1925	7	0.8534	-102.068
337	454	7	0.9449	-132.079
304	4163	7	0.9527	-44.026
359	4169	7	0.9689	-14.015
1722	4163	7	0.9456	-176.105
359	470	7	0.951	-132.079
604	1722	7	0.9689	44.026
227	421	7	0.9371	-138.177
4076	4130	7	0.9381	-44.026
446	4163	7	0.9459	88.052
129	166	7	0.8469	-28.031
604	4163	7	0.9608	-132.079
391	493	7	0.9429	-132.079
175	1890	7	0.8707	-132.079
337	4144	7	0.9741	0.000
242	1920	7	0.8929	-176.105
337	4184	7	0.9575	-44.026
4130	4205	7	0.9386	-88.052
196	3264	7	0.8581	-10.945
470	500	7	0.9506	-44.026
214	741	7	0.8759	39.036
175	188	7	0.8564	-11.005
214	4099	7	0.9267	-31.042
1906	1909	7	0.9145	-14.016
408	500	7	0.9444	-132.079
741	3264	7	0.8606	-38.976
482	493	7	0.9599	-14.016
259	4076	7	0.9763	14.015
500	511	7	0.9432	-44.026
242	1890	7	0.9399	-88.052
227	604	7	0.9812	44.026
218	240	7	0.9047	-14.016
337	430	7	0.9572	-88.052
1880	1909	7	0.8387	-74.037
337	4130	7	0.9716	14.015
454	4233	7	0.9723	14.016
366	1722	7	0.9438	176.105
4076	4099	7	0.9545	-14.015
741	1833	7	0.9133	-44.026
446	604	7	0.9501	220.131
304	604	7	0.9767	88.052
439	4233	7	0.9761	-14.016
1909	1920	7	0.9096	-44.026
304	1722	7	0.9494	132.079
337	391	7	0.9781	-44.026
1865	1906	7	0.9	-88.052
240	3264	7	0.9168	17.086
421	4130	7	0.9386	88.052
604	4124	7	0.9357	-88.052
446	504	7	0.9294	-94.151
366	4163	7	0.9523	-0.000
196	262	7	0.8835	-44.027
337	4099	7	0.9551	44.026
175	242	7	0.8878	-44.026
1916	1925	7	0.8817	-58.042
421	504	7	0.9485	-132.079
227	4163	7	0.9603	-88.053
408	430	7	0.974	-28.031
421	449	7	0.9791	-44.026
192	740	7	0.9914	28.031
196	218	7	0.9212	-14.016
214	4076	7	0.9309	-17.027
1659	1909	7	0.8697	351.300
259	3264	7	0.942	31.102
150	166	7	0.9482	-11.005
80	129	7	0.8944	-44.026
366	482	7	0.9462	-138.177
418	446	7	0.9749	-44.026
418	504	7	0.9404	-138.177
196	741	7	0.8998	28.031
92	129	7	0.9059	-28.031
408	421	7	0.9801	-14.016
4130	4169	7	0.951	-44.026
504	4233	7	0.9454	88.053
430	4205	7	0.977	14.016
129	192	7	0.8491	-45.058
227	1722	7	0.968	88.052
375	4169	7	0.9429	0.000
4144	4184	7	0.9375	-44.026
317	375	7	0.9197	-44.026
470	493	7	0.9644	-28.031
359	408	7	0.9791	-44.026
240	259	7	0.9589	-14.016
317	4144	7	0.9441	-14.016
129	150	7	0.8573	-17.027
741	1865	7	0.881	-88.053
304	454	7	0.9518	-152.193
504	4205	7	0.9485	132.079
366	446	7	0.9768	-88.053
92	192	7	0.838	-73.089
1890	1906	7	0.8747	-30.010
3264	4076	7	0.9189	-17.087
166	740	7	0.9482	11.005
470	482	7	0.9649	-14.016
1909	1916	7	0.8565	-30.011
4169	4205	7	0.9572	-44.026
192	259	7	0.9374	-44.026
150	192	7	0.9914	-28.031
391	4169	7	0.9665	14.016
218	741	7	0.922	42.047
446	511	7	0.9519	-124.161
304	418	7	0.965	-88.052
192	4144	7	0.9027	-88.052
240	4130	7	0.9148	-44.026
214	3264	7	0.9541	0.060
4169	4184	7	0.9375	-14.016
454	507	7	0.9373	-88.052
4205	4233	7	0.9687	-44.026
3264	4099	7	0.9151	-31.102
366	493	7	0.9413	-152.193
196	214	7	0.8703	-11.005
439	454	7	0.9778	-28.031
482	4205	7	0.9504	88.053
259	4144	7	0.9546	-44.026
449	504	7	0.9507	-88.053
214	259	7	0.9536	-31.042
175	741	7	0.9233	14.016
92	171	7	0.8414	-59.073
421	4169	7	0.9572	44.026
171	740	7	0.9828	14.016
449	4169	7	0.9537	88.053
430	4144	7	0.9279	88.052
129	171	7	0.8439	-31.042
1659	1880	7	0.829	425.337
4099	4184	7	0.9215	-88.053
439	470	7	0.9689	-44.026
446	507	7	0.9333	-108.166
259	337	7	0.9745	-44.026
242	1833	7	0.9381	14.016
1833	1865	7	0.9303	-44.027
482	504	7	0.9509	-44.026
1909	1925	7	0.9052	-88.053
359	500	7	0.9251	-176.105
1880	1890	7	0.8682	-30.011
391	4099	7	0.9335	88.053
446	512	7	0.9437	-138.177
150	171	7	0.9828	-14.016
500	504	7	0.9359	-14.016
500	507	7	0.9289	-28.031
240	4099	7	0.9299	-14.015
242	1659	7	0.859	-483.379
317	337	7	0.964	-14.016
430	454	7	0.9734	-44.026
171	4076	7	0.9266	-44.027
1833	1916	7	0.8858	-176.105
150	740	7	1.0	0.000
1833	1906	7	0.9155	-132.078
439	500	7	0.9533	-88.052
304	439	7	0.9402	-124.161
366	604	7	0.966	132.079
262	284	7	0.8678	-14.015
430	4184	7	0.9281	44.026
1659	1890	7	0.8944	395.326
418	4163	7	0.9483	44.026
418	500	7	0.938	-124.161
