Animal	zt_time_binned	condition	mn_RER	sd_RER	mn_MotorAct	sd_MotorAct	mn_WaterCons	sd_WaterCons	mn_kcal_hr_M	sd_kcal_hr_M	mn_FoodCons	sd_FoodCons	mn_kcalCons	sd_kcalCons	mn_Sleep_pct_M	sd_Sleep_pct_M
12	17	FT	0.6747181875	0.0127005223211418	1.095874	0.556693817924309	0.83897225	0.129266650274042	0.646755925	0.0693403349468763	0.31100935	0.183443444661781	1.6203587135	0.95574034668788	40.01736	23.89478147157
12	21	FT	0.6883357625	0.0126873424517664	1.3513925	0.264232655262635	0.7371485	0.140390474207781	0.650164375	0.0484658960809042	0.158044125	0.111102121276441	0.82340989125	0.578842051850258	26.4201375	10.2256984443631
13	1	FT	0.68443285	0.0192122417394917	0.92078	0.206937839691054	0.19737675	0.0378002189356524	0.478014525	0.0129233129166828	0	0	0	0	57.7361125	7.26959163085692
13	5	FT	0.664371458333333	0.0169306108684004	0.535753463333333	0.417786980527821	0.0827311591666665	0.0717896885331663	0.416106858333333	0.0414578427270283	0	0	0	0	72.99074	20.3416163079955
13	9	FT	0.6520549	0.00827164796363371	0.3364581625	0.321559928368068	0.0766476124999999	0.104319895707502	0.3786873625	0.0259166336676957	0	0	0	0	82.270835	15.205294767846
13	13	FT	0.6572335125	0.0124426873411583	0.853750750000001	0.567180659902936	0.2747038125	0.349902533880469	0.49058245	0.11808014895836	0.0811940125	0.109673729367356	0.423020805125	0.571400130003926	46.121527875	37.9851179326985
13	17	FT	0.6669789625	0.0143666178641358	1.114999875	0.37842361554006	0.84265925	0.120387617183294	0.5906611375	0.0530550434081419	0.3163946125	0.0588960734352698	1.648415931125	0.306848542597755	31.99305675	26.2220699561174
13	21	FT	0.6848503875	0.0178104222955018	1.28837625	0.355563660160576	0.614315625	0.188504579575243	0.5891844125	0.0549845883908894	0.190084375	0.132579461822429	0.99033959375	0.690738996094857	23.42361125	23.2742000445526
14	1	FA	0.7018753	0.0380486611097771	0.65586955	0.461221819656743	0.44514	0.0971416031711783	0.417881425	0.0405024391248539	0.1050655	0.0372844299808916	0.547391255	0.194251880200445	72.92361	15.9004010295736
14	5	FA	0.657927041666667	0.033007506216657	0.2946056	0.277914828402774	0.388958455833333	0.194817869495409	0.413478625	0.0337689591851108	0.1092721925	0.0709597250957364	0.569308122924999	0.369700167748787	84.8518525	13.3479377614713
14	9	FA	0.6354512	0.0119848566304078	0.6441689875	0.417724527620982	0.4449915	0.121405878858598	0.4063150375	0.0361971055067721	0.1231948125	0.0912401024395748	0.641844973125	0.475360933710185	71.2847225	18.8002003621031
14	13	FA	0.6339289375	0.0132537186052969	0.9187207625	0.316111466235964	0.636647625	0.2687082498058	0.4682440625	0.085571917256605	0.3316443625	0.445093525687637	1.727867128625	2.31893726883259	46.26389	25.6663604314174
14	17	FA	0.6509322	0.0160520383936567	0.724608125	0.45733442438187	0.72114825	0.153567956381113	0.495388325	0.0566825197249117	0.22545125	0.101334270747505	1.1746010125	0.527951550594499	59.65625	29.1224503354469
14	21	FA	0.6663294625	0.0185772051630053	1.280549875	0.337983729391324	0.6406125	0.164534357783239	0.4888862625	0.0372003227466006	0.24368175	0.1313562826642	1.2695819175	0.68436623268048	38.96180375	16.0978042946723
15	1	NA	0.77956385	0.00575608406268243	1.210216	0.363460470290787	1.332955	0.742902705361431	0.51021145	0.0779090720542223	0.47007125	0.376765037068087	1.457220875	1.16797161491107	36.138888	23.1300782709211
15	5	NA	0.728876616666667	0.0337406606165815	0.446283691666667	0.412159605844686	0.705672266666667	0.444459292970784	0.417091641666667	0.0674172934400158	0.231816033333333	0.28199173059113	0.718629703333333	0.874174364832503	70.88657475	26.1439839969138
15	9	NA	0.7044716875	0.0239981459650197	0.388137	0.260304059473312	0.655511125	0.373234443179939	0.392929175	0.0419610892340494	0.1161775375	0.131884740614555	0.36015036625	0.408842695905119	77.85416625	16.0291343683966
15	13	NA	0.7087012	0.0200954964686832	0.862624625	0.51286349540871	1.415292125	0.65103904247429	0.4662241625	0.0688800638874546	0.26380225	0.229438369853587	0.817786975	0.711258946546121	51.31944375	27.6584648699789
15	17	NA	0.7556427875	0.0227513949787975	1.3036545	0.600034569171286	1.7934875	0.842697347022388	0.5228269125	0.0947192883026236	0.4108715	0.369775086707737	1.27370165	1.14630276879398	30.53819625	31.792630051021
15	21	NA	0.7578828875	0.0272567168611669	1.072078	0.35930333816389	1.41732875	0.667882098886099	0.49856555	0.0633846546994505	0.37490525	0.209333836767801	1.162206275	0.648934893980185	36.75000025	21.5317591156767
16	1	FT	0.6622236	0.0145997814104641	0.332573	0.289844715107935	0.266934	0.154181990835506	0.419805975	0.0264332649663733	0	0	0	0	80.944445	16.120036006276
16	5	FT	0.654392766666667	0.0189311703053376	0.340334566666666	0.414390842551395	0.098599525	0.125683379777259	0.3977718	0.0724141571375	0	0	0	0	80.3888891666667	24.3528174937146
